IDENTIFICATION,BIRTHDAY,NAME,DIPLOMDATE,DIPLOMTYPE,DIPLOMMENTION,DIPLOMPERCENTAGE,DIPLOMSECTION,DIPLOMOPTION,DIPLOMPLACE,SCHOOL,SCHOOLPROVINCE,SCHOOLCODE,SCHOOLSTATUS,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
1497,1984-09-08,H,,DIPLÔME D'ETAT,,62,MECANIQUE,MECANIQUE GENERALE,,ITIG,NORD-KIVU,ITIG,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
1497,1984-09-08,H,,DIPLÔME D'ETAT,,62,MECANIQUE,MECANIQUE GENERALE,,ITIG,NORD-KIVU,ITIG,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,61.099998474121094,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
1517,1980-12-26,H,2001-10-20,DIPLÔME D'ETAT,,52,TECHNIQUE INDUSTRIELLE,ELECTRICITE,KINSHASA,ITIG,NORD-KIVU,ITIG,inconnu,2013-2014,,AJOURNE,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
1670,1973-05-12,H,,inconnu,,51,TECHNIQUE,COMMERCIALE ADM,,INST IMAKI/KIRUMBA,NORD-KIVU,INST IMAKI/KIRUMBA,inconnu,2015-2016,57.099998474121094,AJOURNE,59.20000076293945,SATISFACTION,Faculté de Médecine,Bio-Méd,G2
1846,1963-12-20,F,,DIPLÔME D'ETAT,,52,Pédagogique,Pédagogie Générale,,Buturande,NORD-KIVU,,inconnu,2013-2014,52.599998474121094,AJOURNE,62.70000076293945,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,L2
1848,1985-02-25,F,,DIPLÔME D'ETAT,,52,SCIENTIFIQUE,BIO CHIMIE,,INSTITUT MAJENGO,NORD-KIVU,INSTITUT MAJENGO,inconnu,2015-2016,,ADMIS AU MEMOIRE,68.19999694824219,SATISFACTION,Faculté de Santé et Développement Communautaires,Gestion et Administration des Projets de Santé,L2
1858,1986-03-11,F,,DIPLÔME D'ETAT,,59,PEDAGOGIEQUE,PEDA GENERALE,,INSTITUT VISOKE,NORD-KIVU,INSTITUT VISOKE,inconnu,2013-2014,,ADMIS AU MEMOIRE,65.9000015258789,SATISFACTION,Faculté de Santé et Développement Communautaires,Santé et Développement Communautaires,L2
1963,1975-07-17,H,2001-04-30,DIPLÔME D'ETAT,,58,SCIENTIFIQUE,MATH PHYSIQUE,KINHSASA,INST KITUMAINI,SUD-KIVU,INST KITUMAINI,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté de Santé et Développement Communautaires,Tronc commun,G3
2269,1984-11-28,H,,inconnu,,55,PEDAGOGIEQUE,PEDA GENERALE,,MONT AMBA,KINSHASA,MONT AMBA,inconnu,2013-2014,,AJOURNE,,AJOURNE,Faculté de Santé et Développement Communautaires,Santé Communautaire,L2
2269,1984-11-28,H,,inconnu,,55,PEDAGOGIEQUE,PEDA GENERALE,,MONT AMBA,KINSHASA,MONT AMBA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté de Santé et Développement Communautaires,Santé Communautaire,L2
2269,1984-11-28,H,,inconnu,,55,PEDAGOGIEQUE,PEDA GENERALE,,MONT AMBA,KINSHASA,MONT AMBA,inconnu,2015-2016,,ADMIS AU MEMOIRE,62.70000076293945,SATISFACTION,Faculté de Santé et Développement Communautaires,Santé Communautaire,L2
2271,1983-06-22,F,,DIPLÔME D'ETAT,,60,PEDAGOGIEQUE,PEDA GENERALE,,C.S. LUMIERE,inconnu,C.S. LUMIERE,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté de Santé et Développement Communautaires,Tronc commun,G3
2277,1986-05-04,F,,inconnu,,62,TECHNIQUE,SOCIALE,,LYCEE CHEMCHEM,NORD-KIVU,LYCEE CHEMCHEM,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté de Santé et Développement Communautaires,Santé Environnementale,L2
2436,1984-09-19,H,,inconnu,,58,MECA,MACHINE OUTIL,,ITFM/BKV,SUD-KIVU,ITFM/BKV,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
2454,1986-12-25,H,,DIPLÔME D'ETAT,,62,Pédagogique,Pédagogie Générale,,,BAS CONGO,,inconnu,2013-2014,50.5,AJOURNE,55.79999923706055,SATISFACTION,Faculté de Droit,Droit Public,L1
2454,1986-12-25,H,,DIPLÔME D'ETAT,,62,Pédagogique,Pédagogie Générale,,,BAS CONGO,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,63.900001525878906,SATISFACTION,Faculté de Droit,Droit Public,L2
2509,1987-07-30,H,,inconnu,,55,TECH,CA,,I D'IBANDA,SUD-KIVU,I D'IBANDA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,61.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
2523,1979-05-06,F,,inconnu,,50,PEDAGOGIEQUE,PEDA GENERALE,,INSTITUT TONGIL,inconnu,INSTITUT TONGIL,inconnu,2013-2014,48.20000076293945,AJOURNE,59.0,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,L2
2627,1983-08-31,F,,inconnu,,0,inconnu,inconnu,,,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,57.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
2627,1983-08-31,F,,inconnu,,0,inconnu,inconnu,,,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,56.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
2675,1976-09-05,F,,DIPLÔME D'ETAT,,50,Pédagogique,Pédagogie Générale,,Visoke,N/K,,inconnu,2013-2014,,ADMIS AU TFC,59.29999923706055,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Sciences de l'Éducation,G3
2675,1976-09-05,F,,DIPLÔME D'ETAT,,50,Pédagogique,Pédagogie Générale,,Visoke,N/K,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,59.20000076293945,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Sciences de l'Éducation,L1
2675,1976-09-05,F,,DIPLÔME D'ETAT,,50,Pédagogique,Pédagogie Générale,,Visoke,N/K,,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,63.599998474121094,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Sciences de l'Éducation,L2
3028,1988-06-29,F,,DIPLÔME D'ETAT,,53,LITTERAIRE,LATIN PHILO,,INSTITUT MWANGA,NORD-KIVU,INSTITUT MWANGA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,66.19999694824219,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L2
3053,1991-09-04,H,,inconnu,,51,Technique,Sociale,,Mikeno Isl,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté de Droit,Tronc commun,G1
3068,1983-07-16,H,,inconnu,,51,PEDAGOGIEQUE,PEDA GENERALE,,INST MINOVA,SUD-KIVU,INST MINOVA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,53.599998474121094,SATISFACTION,Faculté de Droit,Droit Public,L1
3068,1983-07-16,H,,inconnu,,51,PEDAGOGIEQUE,PEDA GENERALE,,INST MINOVA,SUD-KIVU,INST MINOVA,inconnu,2014-2015,,AJOURNE,59.400001525878906,SATISFACTION,Faculté de Droit,Droit Public,L2
3106,1982-01-28,H,2003-12-22,DIPLÔME D'ETAT,,52,PEDAGOGIEQUE,PEDA GENERALE,KIN,INST BUKINANYANA,SUD-KIVU,INST BUKINANYANA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté de Théologie,Tronc commun,L2
3135,1971-09-09,F,,inconnu,,50,PEDAGOGIEQUE,PEDA GENERALE,,AUTODIDACTE,NORD-KIVU,AUTODIDACTE,inconnu,2013-2014,,ADMIS AU STAGE ET AU MEMOIRE,60.099998474121094,SATISFACTION,Faculté de Théologie,Tronc commun,L2
3159,1982-07-06,H,2007-12-30,DIPLÔME D'ETAT,,52,PEDAGOGIEQUE,PËDA GENERALE,KIN,INST BORA,NORD-KIVU,INST BORA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,62.0,SATISFACTION,Faculté de Santé et Développement Communautaires,Gestion et Administration des Projets de Santé,L2
3219,1987-12-28,H,,inconnu,,63,SC,MP,,MAJENGO,NORD-KIVU,MAJENGO,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,67.80000305175781,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Électrique,Tech2
3248,1986-09-07,H,2007-12-30,DIPLÔME D'ETAT,,59,PEDAGOGIEQUE,PEDA GENERALE,KINSHASA,INST KASHOFU,SUD-KIVU,INST KASHOFU,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L1
3248,1986-09-07,H,2007-12-30,DIPLÔME D'ETAT,,59,PEDAGOGIEQUE,PEDA GENERALE,KINSHASA,INST KASHOFU,SUD-KIVU,INST KASHOFU,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L2
3248,1986-09-07,H,2007-12-30,DIPLÔME D'ETAT,,59,PEDAGOGIEQUE,PEDA GENERALE,KINSHASA,INST KASHOFU,SUD-KIVU,INST KASHOFU,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,63.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Microfinance et Banque,L2
3251,1986-10-13,H,,inconnu,,54,SCIENTIFIQUE,BIO CHIMIE,,LYCEE MWANDU,NORD-KIVU,LYCEE MWANDU,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,60.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
3251,1986-10-13,H,,inconnu,,54,SCIENTIFIQUE,BIO CHIMIE,,LYCEE MWANDU,NORD-KIVU,LYCEE MWANDU,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,65.0999984741211,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L1
3269,1982-12-07,H,,inconnu,,51,SCIENTIFIQUE,MATH PHYSIQUE,,INST MAJENGO,NORD-KIVU,INST MAJENGO,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,58.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
3271,1976-07-26,H,1999-10-09,DIPLÔME D'ETAT,,51,PEDAGOGIEQUE,PEDA GENERALE,KIN,INST FARAJA,NORD-KIVU,INST FARAJA,inconnu,2013-2014,,ADMIS AU MEMOIRE,56.70000076293945,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Sciences de l'Éducation,L2
3285,1987-01-28,H,2007-12-30,DIPLÔME D'ETAT,,59,SCIENTIFIQUE,BIO CHIMIE,KIN,INSTITUT MWANGA,NORD-KIVU,INSTITUT MWANGA,inconnu,2013-2014,,ADMIS AU STAGE ET AU MEMOIRE,65.5999984741211,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3288,1986-01-05,H,,inconnu,,61,SCIENTIFIQUE,MATH PHYSIQUE,,COLLEGE SAINT PAUL,SUD-KIVU,COLLEGE SAINT PAUL,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3289,1985-05-15,H,,inconnu,,61,SCIENTIFIQUE,MATH PHYSIQUE,,EDAP/ISP,SUD-KIVU,EDAP/ISP,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3313,1970-11-12,F,1992-10-29,DIPLÔME D'ETAT,,52,PEDAGOGIEQUE,PEDA GENERALE,KINSHASA,INSTITUT BUTURANDE,NORD-KIVU,INSTITUT BUTURANDE,inconnu,2013-2014,,AJOURNE,57.900001525878906,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,L2
3320,1986-11-13,H,,inconnu,,52,TECHNIQUE,SOCIALE,,INST MONT GOMA,NORD-KIVU,INST MONT GOMA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3334,1987-03-28,H,2007-12-30,DIPLÔME D'ETAT,,57,SCIENTIFIQUE,BIO CHIMIE,KIN,INST ISIDORE BAKANJA,NORD-KIVU,INST ISIDORE BAKANJA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3353,1989-05-01,H,2007-12-30,DIPLÔME D'ETAT,,62,TECHNIQUE,COMMERCIALE ET ADM,KIN,"INST MIKENO N,C,",NORD-KIVU,"INST MIKENO N,C,",inconnu,2013-2014,,AJOURNE,63.099998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
3431,1986-08-24,H,2007-12-30,DIPLÔME D'ETAT,,57,TECHNIQUE,MECANIQUE GENERALE,KIN,ITIG,NORD-KIVU,ITIG,inconnu,2013-2014,,ADMIS AU STAGE ET AU MEMOIRE,62.0,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Électrique,Tech2
3440,1987-02-25,H,,inconnu,,50,PEDAGOGIEQUE,PEDA GENERALE,,INST IBANDA,SUD-KIVU,INST IBANDA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
3579,1987-07-27,F,,inconnu,,63,PEDAGOGIEQUE,PEDA GENERALE,,INST LUKANGA,NORD-KIVU,INST LUKANGA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,55.79999923706055,SATISFACTION,Faculté de Droit,Droit Économique et Social,L1
3579,1987-07-27,F,,inconnu,,63,PEDAGOGIEQUE,PEDA GENERALE,,INST LUKANGA,NORD-KIVU,INST LUKANGA,inconnu,2015-2016,55.099998474121094,AJOURNE,61.20000076293945,SATISFACTION,Faculté de Droit,Droit Économique et Social,L2
3588,1991-02-28,H,,inconnu,,54,SCIENTIFIQUE,BIO CHIMIE,,INST ISIDORE BAKANJA,NORD-KIVU,INST ISIDORE BAKANJA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,73.5,DISTINCTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
3588,1991-02-28,H,,inconnu,,54,SCIENTIFIQUE,BIO CHIMIE,,INST ISIDORE BAKANJA,NORD-KIVU,INST ISIDORE BAKANJA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,63.599998474121094,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3590,1988-02-09,F,,inconnu,,55,SCIENTIFIQUE,BIO CHIMIE,,I BAKANJA,NORD-KIVU,I BAKANJA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,59.5,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
3590,1988-02-09,F,,inconnu,,55,SCIENTIFIQUE,BIO CHIMIE,,I BAKANJA,NORD-KIVU,I BAKANJA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3591,1990-05-09,H,,inconnu,,50,SCIENTIFIQUE,BIO CHIMIE,,MWANGA,NORD-KIVU,MWANGA,inconnu,2013-2014,,ADMIS AU STAGE ET AU MEMOIRE,73.9000015258789,DISTINCTION,Faculté des Sciences et Technologies Appliquées,Génie Électrique,Tech2
3610,1989-07-28,F,,inconnu,,50,SC,BC,,GSCC/KIGALI,KIGALI,GSCC/KIGALI,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,60.79999923706055,SATISFACTION,Faculté de Santé et Développement Communautaires,Gestion et Administration des Projets de Santé,L1
3610,1989-07-28,F,,inconnu,,50,SC,BC,,GSCC/KIGALI,KIGALI,GSCC/KIGALI,inconnu,2014-2015,59.5,AJOURNE,60.599998474121094,SATISFACTION,Faculté de Santé et Développement Communautaires,Santé Environnementale,L2
3611,1987-12-09,H,,inconnu,,50,PEDAGOGIEQUE,PEDA GENERALE,,I HODARI,SUD-KIVU,I HODARI,inconnu,2013-2014,,AJOURNE,60.0,SATISFACTION,Faculté de Droit,Droit Public,L2
3617,1985-09-23,F,,inconnu,,59,PEDAGOGIEQUE,PEDA GENERALE,,INSTITUT FADHILI,SUD-KIVU,INSTITUT FADHILI,inconnu,2013-2014,,ADMIS AU MEMOIRE,59.5,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Sciences de l'Éducation,L2
3625,1988-06-12,H,,inconnu,,55,PEDAGOGIEQUE,PG,,I KARAMBI,SUD-KIVU,I KARAMBI,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,57.70000076293945,SATISFACTION,Faculté de Droit,Droit Public,L2
3626,1988-08-17,H,2007-12-30,DIPLÔME D'ETAT,,65,TECHN,ELECTRI,KINSHASA,ITIG,NORD-KIVU,ITIG,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,,ADMIS AU MEMOIRE,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3627,1987-04-04,H,2007-09-30,DIPLÔME D'ETAT,,53,TECH  INDUST,MEC GEN,KIN,ITIG,NORD-KIVU,ITIG,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,67.0,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3634,1986-01-19,H,,inconnu,,50,TEC,CA,,RUTOBOKO,NORD-KIVU,RUTOBOKO,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,53.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L1
3634,1986-01-19,H,,inconnu,,50,TEC,CA,,RUTOBOKO,NORD-KIVU,RUTOBOKO,inconnu,2014-2015,,AJOURNE,59.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L2
3635,1986-09-14,H,2007-12-30,DIPLÔME D'ETAT,,51,PED,PG,KINSHASA,MABULA,SUD-KIVU,MABULA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,61.29999923706055,SATISFACTION,Faculté de Santé et Développement Communautaires,Santé Communautaire,L2
3636,1987-02-28,H,,inconnu,,62,PED,PG,,AMANI,KATANGA,AMANI,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,61.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
3639,1989-05-18,F,,inconnu,,60,TECH,COMM INFORMATIQUE,,CS MAMA YETU,NORD-KIVU,CS MAMA YETU,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,61.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion Financière,L2
3643,1987-04-24,H,,inconnu,,60,PED,PG,,IBANDA,SUD-KIVU,IBANDA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,52.099998474121094,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G2
3643,1987-04-24,H,,inconnu,,60,PED,PG,,IBANDA,SUD-KIVU,IBANDA,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,58.0,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
3643,1987-04-24,H,,inconnu,,60,PED,PG,,IBANDA,SUD-KIVU,IBANDA,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,64.4000015258789,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
3645,1989-11-10,H,,inconnu,,54,PED,PG,,HUMULE,NORD-KIVU,HUMULE,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,63.20000076293945,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
3645,1989-11-10,H,,inconnu,,54,PED,PG,,HUMULE,NORD-KIVU,HUMULE,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,66.0,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
3645,1989-11-10,H,,inconnu,,54,PED,PG,,HUMULE,NORD-KIVU,HUMULE,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3646,1989-11-05,H,,inconnu,,53,ELE,ELE INDUDTRIELLE,,AVENIR,SUD-KIVU,AVENIR,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,73.30000305175781,DISTINCTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech1
3646,1989-11-05,H,,inconnu,,53,ELE,ELE INDUDTRIELLE,,AVENIR,SUD-KIVU,AVENIR,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,64.5,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,Tech2
3647,1974-12-12,H,1998-05-25,DIPLÔME D'ETAT,,52,PED,PG,KIN,INST BASHU,NORD-KIVU,INST BASHU,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,65.80000305175781,SATISFACTION,Faculté de Théologie,Tronc commun,L2
3650,1985-07-12,F,2008-08-29,DIPLÔME D'ETAT,,53,PED,PG,KIN,ARETINA SAKA,NORD-KIVU,ARETINA SAKA,inconnu,2013-2014,,AJOURNE,,ADMIS AU MEMOIRE,Faculté de Théologie,Tronc commun,L2
3650,1985-07-12,F,2008-08-29,DIPLÔME D'ETAT,,53,PED,PG,KIN,ARETINA SAKA,NORD-KIVU,ARETINA SAKA,inconnu,2014-2015,,ADMIS AU MEMOIRE,64.30000305175781,SATISFACTION,Faculté de Théologie,Tronc commun,L2
3651,1972-02-20,H,1999-10-09,DIPLÔME D'ETAT,,58,TECHN,CA,KIN,I IBANDA,SUD-KIVU,I IBANDA,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,63.400001525878906,SATISFACTION,Faculté de Théologie,Tronc commun,L2
