ID,BIRTHDAY,SEXE,DIPLOMDATE,DIPLOMTYPE,DIPPERC,SECTION,OPTION,SCHOOL,SCHOOLPROVINCE,SCHOOLSTATUS
1858,1986-03-11,F,,DIPLÔME D'ETAT,59.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,NORD-KIVU,inconnu
1858,1986-03-11,F,,DIPLÔME D'ETAT,59.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,NORD-KIVU,inconnu
1858,1986-03-11,F,,DIPLÔME D'ETAT,59.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,NORD-KIVU,inconnu
1963,1975-07-17,H,2001-04-30,DIPLÔME D'ETAT,58.0,SCIENTIFIQUE,MATH PHYSIQUE,INST KITUMAINI,SUD-KIVU,inconnu
2011,1976-08-07,H,1999-10-09,DIPLÔME D'ETAT,52.0,PEDAGOGIEQUE,PEDA GENERALE,INST LUHIHI,SUD-KIVU,inconnu
2221,1987-04-23,F,,inconnu,52.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT NYABUSHONGO,NORD-KIVU,inconnu
2267,1986-08-16,H,,inconnu,53.0,SCIENTIFIQUE,BIO CHIMIE,INSTITUT KYESHERO,NORD-KIVU,inconnu
2269,1984-11-28,H,,inconnu,55.0,PEDAGOGIEQUE,PEDA GENERALE,MONT AMBA,KINSHASA,inconnu
2269,1984-11-28,H,,inconnu,55.0,PEDAGOGIEQUE,PEDA GENERALE,MONT AMBA,KINSHASA,inconnu
2269,1984-11-28,H,,inconnu,55.0,PEDAGOGIEQUE,PEDA GENERALE,MONT AMBA,KINSHASA,inconnu
2271,1983-06-22,F,,DIPLÔME D'ETAT,60.0,PEDAGOGIEQUE,PEDA GENERALE,C.S. LUMIERE,inconnu,inconnu
2277,1986-05-04,F,,inconnu,62.0,TECHNIQUE,SOCIALE,LYCEE CHEMCHEM,NORD-KIVU,inconnu
2436,1984-09-19,H,,inconnu,58.0,MECA,MACHINE OUTIL,ITFM/BKV,SUD-KIVU,inconnu
2454,1986-12-25,H,,DIPLÔME D'ETAT,62.0,Pédagogique,Pédagogie Générale,,BAS CONGO,inconnu
2454,1986-12-25,H,,DIPLÔME D'ETAT,62.0,Pédagogique,Pédagogie Générale,,BAS CONGO,inconnu
2457,1988-02-18,H,,inconnu,56.0,TECHNIQUE,ELECTRICITE INDUSTR,INSTITUT TECHN. F. MAENDELEO,SUD-KIVU,inconnu
2459,1986-11-20,H,2004-11-29,DIPLÔME D'ETAT,60.0,MECANIQUE,ELECTRICITE,INSTITUT MAHAMBA,NORD-KIVU,inconnu
2509,1987-07-30,H,,inconnu,55.0,TECH,CA,I D'IBANDA,SUD-KIVU,inconnu
2515,1977-07-06,H,1999-11-15,DIPLÔME D'ETAT,54.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT LWANGA,NORD-KIVU,inconnu
2515,1977-07-06,H,1999-11-15,DIPLÔME D'ETAT,54.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT LWANGA,NORD-KIVU,inconnu
2519,1987-01-29,H,,DIPLÔME D'ETAT,71.0,SCIENTIFIQUE,MATH PHYSIQUE,INST MAJENGO,NORD-KIVU,inconnu
2520,1985-06-26,H,,DIPLÔME D'ETAT,58.0,TECHNIQUE,MECANIQUE GENERALE,ITG.INST. TECH. INDUST DE GOMA,NORD-KIVU,inconnu
2523,1979-05-06,F,,inconnu,50.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT TONGIL,inconnu,inconnu
2627,1983-08-31,F,,inconnu,0.0,inconnu,inconnu,,NORD-KIVU,inconnu
2627,1983-08-31,F,,inconnu,0.0,inconnu,inconnu,,NORD-KIVU,inconnu
2675,1976-09-05,F,,DIPLÔME D'ETAT,50.0,Pédagogique,Pédagogie Générale,Visoke,N/K,inconnu
2675,1976-09-05,F,,DIPLÔME D'ETAT,50.0,Pédagogique,Pédagogie Générale,Visoke,N/K,inconnu
2675,1976-09-05,F,,DIPLÔME D'ETAT,50.0,Pédagogique,Pédagogie Générale,Visoke,N/K,inconnu
2675,1976-09-05,F,,DIPLÔME D'ETAT,50.0,Pédagogique,Pédagogie Générale,Visoke,N/K,inconnu
2958,1965-05-16,F,1999-03-12,DIPLÔME D'ETAT DU RWANDA,0.0,TECHNIQUE,SOCIALE,GROUPE SCOL. NDBC DE BYUMBA,inconnu,inconnu
3028,1988-06-29,F,,DIPLÔME D'ETAT,53.0,LITTERAIRE,LATIN PHILO,INSTITUT MWANGA,NORD-KIVU,inconnu
3053,1991-09-04,H,,inconnu,51.0,Technique,Sociale,Mikeno Isl,NORD-KIVU,inconnu
3068,1983-07-16,H,,inconnu,51.0,PEDAGOGIEQUE,PEDA GENERALE,INST MINOVA,SUD-KIVU,inconnu
3068,1983-07-16,H,,inconnu,51.0,PEDAGOGIEQUE,PEDA GENERALE,INST MINOVA,SUD-KIVU,inconnu
3068,1983-07-16,H,,inconnu,51.0,PEDAGOGIEQUE,PEDA GENERALE,INST MINOVA,SUD-KIVU,inconnu
3106,1982-01-28,H,2003-12-22,DIPLÔME D'ETAT,52.0,PEDAGOGIEQUE,PEDA GENERALE,INST BUKINANYANA,SUD-KIVU,inconnu
3126,1968-01-01,H,2004-11-29,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PEDA GENERALE,INST UFAMANDU,NORD-KIVU,inconnu
3135,1971-09-09,F,,inconnu,50.0,PEDAGOGIEQUE,PEDA GENERALE,AUTODIDACTE,NORD-KIVU,inconnu
3137,1988-02-11,H,2007-12-30,DIPLÔME D'ETAT,65.0,LITTERAIRE,LATINPHILO,INSTITUT MWANGA,SUD-KIVU,inconnu
3159,1982-07-06,H,2007-12-30,DIPLÔME D'ETAT,52.0,PEDAGOGIEQUE,PËDA GENERALE,INST BORA,NORD-KIVU,inconnu
3196,1984-08-18,F,2007-12-30,inconnu,58.0,LITTERAIRE,LATIN PHILO,INST MAENDELEO,NORD-KIVU,inconnu
3219,1987-12-28,H,,inconnu,63.0,SC,MP,MAJENGO,NORD-KIVU,inconnu
3248,1986-09-07,H,2007-12-30,DIPLÔME D'ETAT,59.0,PEDAGOGIEQUE,PEDA GENERALE,INST KASHOFU,SUD-KIVU,inconnu
3248,1986-09-07,H,2007-12-30,DIPLÔME D'ETAT,59.0,PEDAGOGIEQUE,PEDA GENERALE,INST KASHOFU,SUD-KIVU,inconnu
3248,1986-09-07,H,2007-12-30,DIPLÔME D'ETAT,59.0,PEDAGOGIEQUE,PEDA GENERALE,INST KASHOFU,SUD-KIVU,inconnu
3251,1986-10-13,H,,inconnu,54.0,SCIENTIFIQUE,BIO CHIMIE,LYCEE MWANDU,NORD-KIVU,inconnu
3251,1986-10-13,H,,inconnu,54.0,SCIENTIFIQUE,BIO CHIMIE,LYCEE MWANDU,NORD-KIVU,inconnu
3251,1986-10-13,H,,inconnu,54.0,SCIENTIFIQUE,BIO CHIMIE,LYCEE MWANDU,NORD-KIVU,inconnu
3269,1982-12-07,H,,inconnu,51.0,SCIENTIFIQUE,MATH PHYSIQUE,INST MAJENGO,NORD-KIVU,inconnu
3271,1976-07-26,H,1999-10-09,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PEDA GENERALE,INST FARAJA,NORD-KIVU,inconnu
3285,1987-01-28,H,2007-12-30,DIPLÔME D'ETAT,59.0,SCIENTIFIQUE,BIO CHIMIE,INSTITUT MWANGA,NORD-KIVU,inconnu
3288,1986-01-05,H,,inconnu,61.0,SCIENTIFIQUE,MATH PHYSIQUE,COLLEGE SAINT PAUL,SUD-KIVU,inconnu
3289,1985-05-15,H,,inconnu,61.0,SCIENTIFIQUE,MATH PHYSIQUE,EDAP/ISP,SUD-KIVU,inconnu
3298,1984-07-06,H,,inconnu,61.0,PEDAGOGIEQUE,PEDA GENERALE,INST LWANGA,SUD-KIVU,inconnu
3298,1984-07-06,H,,inconnu,61.0,PEDAGOGIEQUE,PEDA GENERALE,INST LWANGA,SUD-KIVU,inconnu
3313,1970-11-12,F,1992-10-29,DIPLÔME D'ETAT,52.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT BUTURANDE,NORD-KIVU,inconnu
3320,1986-11-13,H,,inconnu,52.0,TECHNIQUE,SOCIALE,INST MONT GOMA,NORD-KIVU,inconnu
3322,1990-03-04,H,2007-12-30,DIPLÔME D'ETAT,65.0,SCIENTIFIQUE,BIO CHIMIE,INST MWANGA,NORD-KIVU,inconnu
3334,1987-03-28,H,2007-12-30,DIPLÔME D'ETAT,57.0,SCIENTIFIQUE,BIO CHIMIE,INST ISIDORE BAKANJA,NORD-KIVU,inconnu
3353,1989-05-01,H,2007-12-30,DIPLÔME D'ETAT,62.0,TECHNIQUE,COMMERCIALE ET ADM,"INST MIKENO N,C,",NORD-KIVU,inconnu
3431,1986-08-24,H,2007-12-30,DIPLÔME D'ETAT,57.0,TECHNIQUE,MECANIQUE GENERALE,ITIG,NORD-KIVU,inconnu
3440,1987-02-25,H,,inconnu,50.0,PEDAGOGIEQUE,PEDA GENERALE,INST IBANDA,SUD-KIVU,inconnu
3574,1968-10-14,H,,inconnu,50.0,PEDAGOGIEQUE,PEDA GENERALE,AUTO,NORD-KIVU,inconnu
3577,1987-10-27,H,,inconnu,56.0,SC,BC,I DE BKV,SUD-KIVU,inconnu
3578,1979-09-30,F,2001-04-30,DIPLÔME D'ETAT,62.0,PEDAGOGIEQUE,PG,I MALKIA WAMBINGU,NORD-KIVU,inconnu
3579,1987-07-27,F,,inconnu,63.0,PEDAGOGIEQUE,PEDA GENERALE,INST LUKANGA,NORD-KIVU,inconnu
3579,1987-07-27,F,,inconnu,63.0,PEDAGOGIEQUE,PEDA GENERALE,INST LUKANGA,NORD-KIVU,inconnu
3579,1987-07-27,F,,inconnu,63.0,PEDAGOGIEQUE,PEDA GENERALE,INST LUKANGA,NORD-KIVU,inconnu
3588,1991-02-28,H,,inconnu,54.0,SCIENTIFIQUE,BIO CHIMIE,INST ISIDORE BAKANJA,NORD-KIVU,inconnu
3588,1991-02-28,H,,inconnu,54.0,SCIENTIFIQUE,BIO CHIMIE,INST ISIDORE BAKANJA,NORD-KIVU,inconnu
3590,1988-02-09,F,,inconnu,55.0,SCIENTIFIQUE,BIO CHIMIE,I BAKANJA,NORD-KIVU,inconnu
3590,1988-02-09,F,,inconnu,55.0,SCIENTIFIQUE,BIO CHIMIE,I BAKANJA,NORD-KIVU,inconnu
3591,1990-05-09,H,,inconnu,50.0,SCIENTIFIQUE,BIO CHIMIE,MWANGA,NORD-KIVU,inconnu
3610,1989-07-28,F,,inconnu,50.0,SC,BC,GSCC/KIGALI,KIGALI,inconnu
3610,1989-07-28,F,,inconnu,50.0,SC,BC,GSCC/KIGALI,KIGALI,inconnu
3611,1987-12-09,H,,inconnu,50.0,PEDAGOGIEQUE,PEDA GENERALE,I HODARI,SUD-KIVU,inconnu
3612,1988-02-16,F,,inconnu,50.0,LITTERAIRE,LATIN PHILO,INSTITUT METANOIA,NORD-KIVU,inconnu
3617,1985-09-23,F,,inconnu,59.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT FADHILI,SUD-KIVU,inconnu
3617,1985-09-23,F,,inconnu,59.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT FADHILI,SUD-KIVU,inconnu
3624,1990-10-27,H,,inconnu,52.0,PED,PG,I MAENDELEO,NORD-KIVU,inconnu
3625,1988-06-12,H,,inconnu,55.0,PEDAGOGIEQUE,PG,I KARAMBI,SUD-KIVU,inconnu
3626,1988-08-17,H,2007-12-30,DIPLÔME D'ETAT,65.0,TECHN,ELECTRI,ITIG,NORD-KIVU,inconnu
3626,1988-08-17,H,2007-12-30,DIPLÔME D'ETAT,65.0,TECHN,ELECTRI,ITIG,NORD-KIVU,inconnu
3627,1987-04-04,H,2007-09-30,DIPLÔME D'ETAT,53.0,TECH  INDUST,MEC GEN,ITIG,NORD-KIVU,inconnu
3629,1986-12-04,H,2007-12-30,DIPLÔME D'ETAT,54.0,PED,PG,INST FARAJA,NORD-KIVU,inconnu
3633,1990-05-25,F,,inconnu,55.0,TEC,CA,BAKANJA,NORD-KIVU,inconnu
3634,1986-01-19,H,,inconnu,50.0,TEC,CA,RUTOBOKO,NORD-KIVU,inconnu
3634,1986-01-19,H,,inconnu,50.0,TEC,CA,RUTOBOKO,NORD-KIVU,inconnu
3635,1986-09-14,H,2007-12-30,DIPLÔME D'ETAT,51.0,PED,PG,MABULA,SUD-KIVU,inconnu
3636,1987-02-28,H,,inconnu,62.0,PED,PG,AMANI,KATANGA,inconnu
3637,1990-02-14,H,,inconnu,57.0,PED,PG,NDAHURA,NORD-KIVU,inconnu
3639,1989-05-18,F,,inconnu,60.0,TECH,COMM INFORMATIQUE,CS MAMA YETU,NORD-KIVU,inconnu
3643,1987-04-24,H,,inconnu,60.0,PED,PG,IBANDA,SUD-KIVU,inconnu
3643,1987-04-24,H,,inconnu,60.0,PED,PG,IBANDA,SUD-KIVU,inconnu
3643,1987-04-24,H,,inconnu,60.0,PED,PG,IBANDA,SUD-KIVU,inconnu
3645,1989-11-10,H,,inconnu,54.0,PED,PG,HUMULE,NORD-KIVU,inconnu
3645,1989-11-10,H,,inconnu,54.0,PED,PG,HUMULE,NORD-KIVU,inconnu
3645,1989-11-10,H,,inconnu,54.0,PED,PG,HUMULE,NORD-KIVU,inconnu
3646,1989-11-05,H,,inconnu,53.0,ELE,ELE INDUDTRIELLE,AVENIR,SUD-KIVU,inconnu
3646,1989-11-05,H,,inconnu,53.0,ELE,ELE INDUDTRIELLE,AVENIR,SUD-KIVU,inconnu
3647,1974-12-12,H,1998-05-25,DIPLÔME D'ETAT,52.0,PED,PG,INST BASHU,NORD-KIVU,inconnu
3648,1990-11-09,H,,inconnu,54.0,PED,PG,KITSIMBA,NORD-KIVU,inconnu
3648,1990-11-09,H,,inconnu,54.0,PED,PG,KITSIMBA,NORD-KIVU,inconnu
3649,1989-10-18,F,,inconnu,50.0,TEC,SOCIALE,KAVAGHENDI,NORD-KIVU,inconnu
3650,1985-07-12,F,2008-08-29,DIPLÔME D'ETAT,53.0,PED,PG,ARETINA SAKA,NORD-KIVU,inconnu
3650,1985-07-12,F,2008-08-29,DIPLÔME D'ETAT,53.0,PED,PG,ARETINA SAKA,NORD-KIVU,inconnu
3650,1985-07-12,F,2008-08-29,DIPLÔME D'ETAT,53.0,PED,PG,ARETINA SAKA,NORD-KIVU,inconnu
3651,1972-02-20,H,1999-10-09,DIPLÔME D'ETAT,58.0,TECHN,CA,I IBANDA,SUD-KIVU,inconnu
3653,1987-12-09,H,,inconnu,57.0,TEC,NUTRITION,BULUMBI,NORD-KIVU,inconnu
3653,1987-12-09,H,,inconnu,57.0,TEC,NUTRITION,BULUMBI,NORD-KIVU,inconnu
3656,1987-01-21,F,,inconnu,51.0,TECH,SOCIALE,MIKENO OFF,NORD-KIVU,inconnu
3658,1989-02-27,H,,inconnu,61.0,TEC,CA,METANOIA,NORD-KIVU,inconnu
3659,1989-03-03,H,,inconnu,64.0,PED,PG,SAINTE FAMILLE,KINSHASA,inconnu
3659,1989-03-03,H,,inconnu,64.0,PED,PG,SAINTE FAMILLE,KINSHASA,inconnu
3660,1990-01-02,F,,inconnu,52.0,LIT,LP,HIMBI,NORD-KIVU,inconnu
3667,1990-11-02,F,,inconnu,63.0,TECHNIQUE,COMMERCIALE ET ADMINISTRATIVE,INST MWANGA,NORD-KIVU,inconnu
3668,1985-02-12,H,,inconnu,50.0,TECHNIQUE,COMMERCIALE ET ADM,INST METANOIA,NORD-KIVU,inconnu
3669,1987-09-08,F,,inconnu,50.0,TECHN,CA,I JIKAZE,NORD-KIVU,inconnu
3670,1989-03-11,H,,inconnu,53.0,techc,CA,INST MWANGA,NORD-KIVU,inconnu
3672,1984-09-15,H,2005-12-31,DIPLÔME D'ETAT,59.0,PED,PG,I KASHOFU,SUD-KIVU,inconnu
3691,1986-12-07,H,,inconnu,59.0,TECHNIQUE,COM ET ADM,EDAP/ISP,SUD-KIVU,inconnu
3691,1986-12-07,H,,inconnu,59.0,TECHNIQUE,COM ET ADM,EDAP/ISP,SUD-KIVU,inconnu
3708,1988-07-27,F,,inconnu,52.0,TECH,CA,I FARAJA,NORD-KIVU,inconnu
3711,1983-09-06,H,,inconnu,51.0,SC,MP,I MAJENGO,NORD-KIVU,inconnu
3711,1983-09-06,H,,inconnu,51.0,SC,MP,I MAJENGO,NORD-KIVU,inconnu
3711,1983-09-06,H,,inconnu,51.0,SC,MP,I MAJENGO,NORD-KIVU,inconnu
3712,1972-06-28,F,2007-12-30,DIPLÔME D'ETAT,51.0,TECHN,CA,I RUTOBOKO,NORD-KIVU,inconnu
3716,1987-02-26,H,,inconnu,54.0,TECHN,CA,I MIKENO/OFF,NORD-KIVU,inconnu
3718,1988-03-21,H,,inconnu,63.0,LITTERAIRE,LATIN PHILO,INSTITUT KASHALI,SUD-KIVU,inconnu
3723,1988-06-04,H,,inconnu,55.0,TECHNIQUE,COMMERCIALE ET ADMI,INST METANOIA,NORD-KIVU,inconnu
3727,1989-02-12,H,,inconnu,53.0,PEDAGOGIEQUE,PEDA GENERALE,I ISIDORE BAKANJA,NORD-KIVU,inconnu
3730,1990-08-21,H,,DIPLÔME D'ETAT,55.0,TECHNIQUE,COMMERCIALE ET ADM,INST MGR KATALIKO,NORD-KIVU,inconnu
3731,1974-05-05,F,,inconnu,52.0,PEDAGOGIEQUE,PG,LYCEE ANUARITE,NORD-KIVU,inconnu
3731,1974-05-05,F,,inconnu,52.0,PEDAGOGIEQUE,PG,LYCEE ANUARITE,NORD-KIVU,inconnu
3731,1974-05-05,F,,inconnu,52.0,PEDAGOGIEQUE,PG,LYCEE ANUARITE,NORD-KIVU,inconnu
3734,1989-04-02,F,,inconnu,52.0,TECHNIQUE,COMM ET ADM,INST HIMBI,NORD-KIVU,inconnu
3736,1989-02-11,F,,inconnu,51.0,SCIENTIFIQUE,BIOCHIMIE,LYCEE AMANI,NORD-KIVU,inconnu
3737,1989-09-17,H,,inconnu,50.0,TECHNIQUE,COMM ET ADM,INSTITUT DE GOMA,NORD-KIVU,inconnu
3747,1990-03-25,H,,inconnu,53.0,SC,MP,COLLEGE SAINT PAUL,SUD-KIVU,inconnu
3755,1985-12-15,H,,inconnu,50.0,TECHNIQUE,SOCIALE,INST NYABUSHONGO,NORD-KIVU,inconnu
3755,1985-12-15,H,,inconnu,50.0,TECHNIQUE,SOCIALE,INST NYABUSHONGO,NORD-KIVU,inconnu
3755,1985-12-15,H,,inconnu,50.0,TECHNIQUE,SOCIALE,INST NYABUSHONGO,NORD-KIVU,inconnu
3756,1983-06-10,H,,inconnu,52.0,PED,PG,I MORIA,NORD-KIVU,inconnu
3760,1991-01-11,H,,inconnu,58.0,SC,MP,I MAJENGO,NORD-KIVU,inconnu
3760,1991-01-11,H,,inconnu,58.0,SC,MP,I MAJENGO,NORD-KIVU,inconnu
3761,1979-03-29,H,,inconnu,62.0,TECHN,COMM ET ADM,I KISIMBA,NORD-KIVU,inconnu
3770,1987-09-21,F,,inconnu,56.0,TECHNIQUE,SOCIALE,INST TUMAINI,SUD-KIVU,inconnu
3776,1990-01-31,F,,inconnu,55.0,litt,lp,LYCEE MWANDU,NORD-KIVU,inconnu
3779,1989-09-19,F,,inconnu,54.0,TECHNIQUE,COMMERCIALE,LYCEE CHEMCHEM,NORD-KIVU,inconnu
3789,1986-04-18,H,,inconnu,53.0,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT METANOIA,NORD-KIVU,inconnu
3791,1961-09-14,F,,inconnu,50.0,PEDAGOGIEQUE,PEDA GENERALE,I KILUKU,NORD-KIVU,inconnu
3792,1990-05-10,F,,inconnu,56.0,PEDAGOGIEQUE,PEDA GENERALE,INST KASIKA,NORD-KIVU,inconnu
3803,1968-04-15,H,1989-07-02,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PG,I NDAHURA,NORD-KIVU,inconnu
3803,1968-04-15,H,1989-07-02,DIPLÔME D'ETAT,51.0,PEDAGOGIEQUE,PG,I NDAHURA,NORD-KIVU,inconnu
3804,1980-07-20,F,,inconnu,53.0,PEDAGOGIEQUE,PG,L KATANA,SUD-KIVU,inconnu
3809,1988-10-13,F,,inconnu,56.0,PEDAGOGIEQUE,PEDA GENERALE,I MONT GOMA,NORD-KIVU,inconnu
3810,1986-09-13,H,,inconnu,51.0,TECHNIQUE,CA,INST METANOIA,NORD-KIVU,inconnu
3812,1990-09-07,F,,inconnu,56.0,PED,PG,I ISIDORE BAKANJA,NORD-KIVU,inconnu
3815,1985-10-25,H,,inconnu,54.0,TEC,CA,INSTIGO,NORD-KIVU,inconnu
3817,1990-08-11,F,,inconnu,57.0,TECHNIQUE,SOCIALE,LYCEE CHERCHEM,NORD-KIVU,inconnu
3820,1985-04-01,H,,inconnu,50.0,PEDAGOGIEQUE,PG,I FURAHA,NORD-KIVU,inconnu
3821,1990-07-27,F,,inconnu,53.0,TEC,CA,KIMBILIO,NORD-KIVU,inconnu
3827,1987-01-01,H,2008-08-29,DIPLÔME D'ETAT,52.0,TECHN,CA,I METANOIA,NORD-KIVU,inconnu
3832,1986-09-19,F,,inconnu,54.0,TECHN,COMM ET ADM,INST ST JOSEPH,NORD-KIVU,inconnu
3832,1986-09-19,F,,inconnu,54.0,TECHN,COMM ET ADM,INST ST JOSEPH,NORD-KIVU,inconnu
3833,1987-06-30,H,,inconnu,52.0,SCIENTIFIQUE,MATH PHYSIQUE,INST D'IBANDA,SUD-KIVU,inconnu
3835,1988-06-12,H,,inconnu,53.0,TECH,CA,INST ST JOSEPH,NORD-KIVU,inconnu
3838,1980-04-02,F,,inconnu,52.0,SC,BC,L AMANI,NORD-KIVU,inconnu
