,IDENTIFICATION,SCHOOLSTATUS,SCHOOL_RIGHT,OPTION_RIGHT,FAC,SCHOOLPROVINCE,BIRTHDAY,GENDER,DIPLOMPERCENTAGE,AGE
28,8875,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1992-01-30,H,50.0,25
29,8922,protestant,zanner,latin philo,FD,NORD-KIVU,1994-03-04,F,50.0,23
30,9023,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1992-11-06,F,53.0,24
31,9057,protestant,zanner,latin philo,FSEG,NORD-KIVU,1990-02-26,H,50.0,27
32,9195,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1996-02-22,F,55.0,21
33,9352,protestant,zanner,latin philo,FD,NORD-KIVU,1993-08-22,H,55.0,23
34,9413,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1993-05-17,F,62.0,24
35,9542,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1996-12-12,H,53.0,20
36,9544,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1993-06-26,H,52.0,24
37,9582,protestant,zanner,latin philo,FD,NORD-KIVU,1996-12-19,F,58.0,20
38,9618,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1995-07-11,F,52.0,21
39,9667,protestant,zanner,latin philo,FD,NORD-KIVU,1995-04-30,F,51.0,22
40,9833,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1994-07-07,F,50.0,23
41,9860,protestant,zanner,latin philo,FD,NORD-KIVU,1995-06-23,H,52.0,22
42,9861,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1996-09-09,H,51.0,20
43,9864,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1996-09-24,H,51.0,20
44,9869,protestant,zanner,latin philo,FD,NORD-KIVU,1994-10-05,F,52.0,22
45,9872,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1995-08-27,F,61.0,21
46,9994,protestant,zanner,latin philo,FD,NORD-KIVU,1995-12-13,F,53.0,21
47,9997,protestant,zanner,latin philo,FSEG,NORD-KIVU,1994-04-03,H,53.0,23
48,10007,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1995-03-15,H,50.0,22
49,10032,protestant,zanner,latin philo,FD,NORD-KIVU,1989-06-05,H,51.0,28
50,10058,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1995-04-01,F,56.0,22
51,10124,protestant,zanner,commmerciale et adm,FSTA,NORD-KIVU,1995-10-12,H,50.0,21
52,10157,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1995-11-30,H,52.0,21
53,10237,protestant,zanner,latin philo,FSEG,NORD-KIVU,1994-08-27,F,59.0,22
54,10303,protestant,zanner,latin philo,FD,NORD-KIVU,1994-04-04,F,51.0,23
55,10384,protestant,zanner,latin philo,FM,NORD-KIVU,1995-07-06,F,59.0,22
56,10459,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1992-12-29,F,52.0,24
57,10478,protestant,zanner,latin philo,FD,NORD-KIVU,1995-11-04,F,51.0,21
58,10560,protestant,zanner,latin philo,FSTA,NORD-KIVU,1994-10-20,H,51.0,22
59,10583,protestant,zanner,latin philo,FD,NORD-KIVU,1996-05-28,F,51.0,21
60,10604,protestant,zanner,latin philo,FD,NORD-KIVU,1993-11-11,H,58.0,23
61,10712,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,1995-04-24,H,51.0,22
62,10758,protestant,zanner,latin philo,FSEG,NORD-KIVU,1994-08-24,F,52.0,22
63,10800,protestant,zanner,latin philo,FSEG,NORD-KIVU,1996-02-03,H,54.0,21
64,10801,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1996-02-03,H,59.0,21
65,11331,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1994-07-09,F,50.0,23
66,11368,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1995-01-04,F,57.0,22
67,11382,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,1997-04-30,H,51.0,20
68,11434,protestant,zanner,latin philo,FSEG,NORD-KIVU,1996-01-22,H,59.0,21
69,11522,protestant,zanner,commmerciale et adm,FD,NORD-KIVU,1997-02-08,H,56.0,20
70,11556,protestant,zanner,commmerciale et adm,FSEG,NORD-KIVU,1998-11-15,F,52.0,18
71,11610,protestant,zanner,latin philo,FM,NORD-KIVU,1994-02-02,H,52.0,23
72,11697,protestant,zanner,commmerciale et adm,FSTA,NORD-KIVU,1995-01-19,F,52.0,22
73,11711,protestant,zanner,latin philo,FD,NORD-KIVU,1997-03-11,H,58.0,20
74,11712,protestant,zanner,latin philo,FSDC,NORD-KIVU,1995-05-21,H,54.0,22
75,11730,protestant,zanner,latin philo,FD,NORD-KIVU,1996-11-14,F,59.0,20
76,11986,protestant,zanner,latin philo,FD,NORD-KIVU,1998-03-28,F,61.0,19
77,12019,protestant,zanner,latin philo,FSEG,NORD-KIVU,1996-05-31,F,60.0,21
78,3289,publique,edap/isp,math-physique,FSTA,SUD-KIVU,1985-05-15,H,61.0,32
79,3691,publique,edap/isp,commmerciale et adm,FSTA,SUD-KIVU,1986-12-07,H,59.0,30
80,4617,publique,edap/isp,bio-chimie,FSTA,SUD-KIVU,1991-07-23,H,61.0,25
81,6626,publique,edap/isp,math-physique,FSTA,SUD-KIVU,1992-06-27,H,62.0,25
82,7611,publique,edap/isp,bio-chimie,FSTA,SUD-KIVU,1992-07-27,H,55.0,24
83,8283,publique,edap/isp,commmerciale et adm,FSEG,NORD-KIVU,1993-09-03,H,51.0,23
84,9309,publique,edap/isp,math-physique,FSTA,SUD-KIVU,1992-04-07,F,50.0,25
85,9700,publique,edap/isp,commmerciale et adm,FSEG,SUD-KIVU,1991-12-01,H,59.0,25
86,9717,publique,edap/isp,commmerciale et adm,FSEG,SUD-KIVU,1990-01-17,H,65.0,27
87,11525,publique,edap/isp,math-physique,FSTA,NORD-KIVU,1994-07-29,H,60.0,22
88,5918,publique,mululusake,pedagogie,FD,NORD-KIVU,1986-04-17,H,52.0,31
89,8692,publique,mululusake,pedagogie,FT,SUD-KIVU,1968-12-20,H,52.0,48
90,11347,publique,mululusake,pedagogie,FPSE,NORD-KIVU,1995-05-12,F,55.0,22
91,11662,publique,mululusake,pedagogie,FSTA,NORD-KIVU,1997-09-26,H,73.0,19
92,11862,publique,mululusake,sociale,FSDC,NORD-KIVU,1995-03-02,H,54.0,22
93,2509,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1987-07-30,H,55.0,29
94,3440,publique,ibanda,pedagogie,FSTA,SUD-KIVU,1987-02-25,H,50.0,30
95,3643,publique,ibanda,pedagogie,FSTA,SUD-KIVU,1987-04-24,H,60.0,30
96,3651,publique,ibanda,commmerciale et adm,FT,SUD-KIVU,1972-02-20,H,58.0,45
97,3833,publique,ibanda,math-physique,FSEG,SUD-KIVU,1987-06-30,H,52.0,30
98,4276,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1989-05-02,H,54.0,28
99,4277,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1990-06-04,H,51.0,27
100,5026,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1989-05-06,H,58.0,28
101,5683,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1991-08-18,H,68.0,25
102,6241,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1991-05-06,F,52.0,26
103,6662,publique,ibanda,math-physique,FSTA,SUD-KIVU,1992-01-27,H,68.0,25
104,7003,publique,ibanda,bio-chimie,FSDC,SUD-KIVU,1981-11-14,H,50.0,35
105,7354,publique,ibanda,commmerciale et adm,FSDC,NORD-KIVU,1987-02-08,F,62.0,30
106,7672,publique,ibanda,bio-chimie,FSTA,SUD-KIVU,1991-09-12,H,54.0,25
107,7685,publique,ibanda,bio-chimie,FSTA,NORD-KIVU,1990-11-28,H,60.0,26
108,7707,publique,ibanda,bio-chimie,FSDC,SUD-KIVU,1989-07-05,F,53.0,28
109,8326,publique,ibanda,bio-chimie,FSTA,NORD-KIVU,1993-03-03,H,59.0,24
110,8818,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1991-06-25,H,51.0,26
111,9292,publique,ibanda,pedagogie,FD,SUD-KIVU,1992-06-12,F,68.0,25
112,9506,publique,ibanda,math-physique,FSTA,SUD-KIVU,1995-01-05,F,55.0,22
113,9716,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1991-05-25,H,60.0,26
114,9829,publique,ibanda,math-physique,FSTA,SUD-KIVU,1997-02-03,H,52.0,20
115,10201,publique,ibanda,math-physique,FSTA,SUD-KIVU,1996-02-22,H,62.0,21
116,10355,publique,ibanda,pedagogie,FSDC,SUD-KIVU,1993-01-25,F,58.0,24
117,10358,publique,ibanda,math-physique,FSTA,SUD-KIVU,1993-02-06,H,52.0,24
118,10484,publique,ibanda,pedagogie,FSTA,SUD-KIVU,1996-08-07,H,50.0,20
119,10702,publique,ibanda,pedagogie,FD,SUD-KIVU,1992-06-09,H,65.0,25
120,10823,publique,ibanda,pedagogie,FD,SUD-KIVU,1985-04-15,H,53.0,32
121,10895,publique,ibanda,pedagogie,FD,SUD-KIVU,1990-02-02,H,53.0,27
122,11631,publique,ibanda,bio-chimie,FSDC,NORD-KIVU,1986-09-26,H,51.0,30
123,11791,publique,ibanda,bio-chimie,FSTA,NORD-KIVU,1996-09-25,H,51.0,20
124,11793,publique,ibanda,pedagogie,FD,SUD-KIVU,1996-01-09,H,54.0,21
125,12104,publique,ibanda,commmerciale et adm,FSEG,SUD-KIVU,1993-01-30,H,50.0,24
126,12225,publique,ibanda,pedagogie,FD,SUD-KIVU,1992-07-08,H,61.0,25
127,4329,privé,frere alimba,math-physique,FSEG,EQUATEUR,1990-08-08,H,50.0,26
128,6135,privé,frere alimba,math-physique,FSEG,KINSHASA,1989-12-01,H,58.0,27
129,12200,privé,frere alimba,bio-chimie,FSDC,KINSHASA,1991-02-05,H,55.0,26
130,4307,catholique,iti gombe,mecanique machines outils,FSTA,KINSHASA,1990-02-08,H,69.0,27
131,9038,catholique,iti gombe,bio-chimie,FSEG,KINSHASA,1994-09-22,F,65.0,22
132,9549,catholique,iti gombe,commmerciale et adm,FSEG,NORD-KIVU,1995-11-10,F,65.0,21
133,9558,catholique,iti gombe,vétérinaire,FSDC,ORIENTALE,1986-05-14,H,51.0,31
134,10159,catholique,iti gombe,vétérinaire,FM,OUEST,1995-07-21,H,56.8765221107,21
135,10582,catholique,iti gombe,electronique générale,FSTA,ORIENTALE,1992-02-12,H,60.0,25
136,11371,catholique,iti gombe,mec gene,FSTA,NORD-KIVU,1995-10-10,H,56.0,21
137,11378,publique,iti gombe,elec,FSTA,KINSHASA,1991-04-02,H,52.0,26
138,11455,catholique,iti gombe,elec,FSTA,NORD-KIVU,1997-10-12,H,65.0,19
139,11636,catholique,iti gombe,mec gene,FSTA,NORD-KIVU,1996-02-14,H,52.0,21
140,11648,catholique,iti gombe,elec,FSTA,NORD-KIVU,1997-04-29,H,68.0,20
141,11678,catholique,iti gombe,elec,FSTA,NORD-KIVU,1998-04-14,H,56.0,19
142,11679,catholique,iti gombe,mec gene,FSTA,NORD-KIVU,1996-12-24,H,60.0,20
143,7026,publique,butembo,pedagogie,FPSE,NORD-KIVU,1992-08-01,H,60.0,24
144,7718,publique,butembo,latin philo,FD,NORD-KIVU,1993-12-03,H,63.0,23
145,8432,publique,butembo,pedagogie,FD,NORD-KIVU,1993-06-17,H,56.0,24
146,8487,publique,butembo,pedagogie,FPSE,NORD-KIVU,1993-03-03,F,57.0,24
147,9004,publique,butembo,sociale,FD,NORD-KIVU,1993-12-24,H,58.0,23
148,9126,publique,butembo,sociale,FSTA,NORD-KIVU,1989-12-18,H,58.0,27
149,9275,publique,butembo,sociale,FSDC,NORD-KIVU,1986-10-15,H,51.0,30
150,9604,publique,butembo,commmerciale et adm,FD,NORD-KIVU,1994-03-28,F,57.0,23
151,9729,publique,butembo,commmerciale et adm,FSEG,NORD-KIVU,1991-12-24,F,54.0,25
152,10271,publique,butembo,pedagogie,FSDC,NORD-KIVU,1990-05-15,F,50.0,27
153,10434,publique,butembo,pedagogie,FPSE,NORD-KIVU,1993-07-25,F,59.0,23
154,10867,publique,butembo,elec indust,FSTA,NORD-KIVU,1993-10-01,H,58.0,23
155,10892,publique,butembo,math-physique,FSDC,NORD-KIVU,1989-03-15,H,52.0,28
156,10931,publique,butembo,commmerciale et adm,FSDC,NORD-KIVU,1989-10-07,H,53.0,27
157,11450,catholique,butembo,commmerciale et adm,FSEG,NORD-KIVU,1996-03-12,F,61.0,21
158,11558,publique,butembo,math-physique,FSTA,NORD-KIVU,1995-07-25,H,65.0,21
159,11618,publique,butembo,latin philo,FD,NORD-KIVU,1997-01-19,F,63.0,20
160,11729,protestant,butembo,sociale,FT,NORD-KIVU,1992-07-07,H,60.0,25
161,11859,publique,butembo,pedagogie,FSEG,NORD-KIVU,1995-11-07,F,57.0,21
162,12111,publique,butembo,construction,FSTA,NORD-KIVU,1996-06-01,H,62.0,21
163,12166,publique,butembo,pedagogie,FSDC,NORD-KIVU,1995-02-11,F,51.0,22
164,12167,publique,butembo,construction,FSTA,NORD-KIVU,1994-05-28,H,60.0,23
165,12186,publique,butembo,agrecole,FSTA,NORD-KIVU,1997-03-09,H,67.0,20
166,12239,catholique,butembo,commmerciale et adm,FSEG,NORD-KIVU,1992-01-02,F,55.0,25
167,4216,protestant,masisi,commmerciale et adm,FSEG,NORD-KIVU,1987-01-06,H,62.0,30
168,4873,protestant,masisi,pedagogie,FSDC,NORD-KIVU,1991-10-06,H,55.0,25
169,11624,protestant,masisi,sociale,FSTA,NORD-KIVU,1994-11-24,H,52.0,22
170,11676,publique,masisi,commmerciale et adm,FSEG,NORD-KIVU,1997-07-28,H,52.0,19
171,11776,publique,masisi,latin philo,FM,NORD-KIVU,1996-06-07,F,51.0,21
172,2277,publique,chemchem,sociale,FSDC,NORD-KIVU,1986-05-04,F,62.0,31
173,3779,publique,chemchem,commmerciale et adm,FD,NORD-KIVU,1989-09-19,F,54.0,27
174,3817,publique,chemchem,sociale,FSEG,NORD-KIVU,1990-08-11,F,57.0,26
175,3963,publique,chemchem,inconnu,FSDC,NORD-KIVU,1988-08-08,F,57.0,28
176,4411,publique,chemchem,nutr,FSEG,NORD-KIVU,1989-01-25,F,56.0,28
177,4457,publique,chemchem,sociale,FSEG,NORD-KIVU,1992-09-09,F,71.0,24
178,4458,publique,chemchem,sociale,FSEG,inconnu,1991-10-07,F,58.0,25
179,4483,publique,chemchem,nutr,FSDC,NORD-KIVU,1990-08-13,F,58.0,26
180,4603,publique,chemchem,nutr,FSDC,NORD-KIVU,1989-10-29,F,55.0,27
181,4727,publique,chemchem,nutr,FSDC,NORD-KIVU,1990-07-25,F,62.0,26
182,4759,publique,chemchem,diet,FSDC,NORD-KIVU,1990-01-24,H,61.0,27
183,4763,publique,chemchem,nutr,FSDC,NORD-KIVU,1989-11-13,F,59.0,27
184,4765,publique,chemchem,nutr,FD,NORD-KIVU,1991-09-01,F,57.0,25
185,4771,publique,chemchem,nutr,FSDC,NORD-KIVU,1988-10-16,F,57.0,28
186,4780,publique,chemchem,diet,FSDC,NORD-KIVU,1991-06-14,F,59.0,26
187,4790,publique,chemchem,sociale,FSDC,NORD-KIVU,1989-05-05,F,54.0,28
188,4883,publique,chemchem,coupe couture,FD,NORD-KIVU,1987-11-24,F,52.0,29
189,4902,publique,chemchem,sociale,FSEG,NORD-KIVU,1991-01-04,F,60.0,26
190,5163,publique,chemchem,nutr,FSDC,NORD-KIVU,1989-12-24,F,56.0,27
191,5651,publique,chemchem,nutr,FSDC,NORD-KIVU,1992-04-16,F,52.0,25
192,5667,publique,chemchem,sociale,FSDC,NORD-KIVU,1989-03-15,F,54.0,28
193,5748,publique,chemchem,nutr,FSEG,NORD-KIVU,1993-05-25,F,50.0,24
194,5749,publique,chemchem,sociale,FD,KINSHASA,1991-07-17,F,56.0,25
195,6165,publique,chemchem,sociale,FSEG,NORD-KIVU,1992-06-26,F,51.0,25
196,6209,publique,chemchem,nutr,FSEG,NORD-KIVU,1992-08-18,F,51.0,24
197,6377,publique,chemchem,sociale,FSEG,NORD-KIVU,1992-10-15,F,73.0,24
198,6378,publique,chemchem,sociale,FSEG,NORD-KIVU,1992-11-11,F,54.0,24
199,6483,publique,chemchem,sociale,FSEG,NORD-KIVU,1992-07-27,F,59.0,24
200,6534,publique,chemchem,nutr,FSDC,NORD-KIVU,1989-07-23,F,56.0,27
201,6536,publique,chemchem,nutr,FSDC,NORD-KIVU,1993-03-02,F,56.0,24
202,6635,publique,chemchem,sociale,FSDC,NORD-KIVU,1990-10-21,F,57.0,26
203,6642,publique,chemchem,nutr,FSDC,NORD-KIVU,1990-05-10,F,56.0,27
204,6669,publique,chemchem,sociale,FSEG,NORD-KIVU,1991-08-25,F,58.0,25
205,6761,publique,chemchem,nutr,FSDC,NORD-KIVU,1991-04-10,F,50.0,26
206,6762,publique,chemchem,nutr,FSDC,NORD-KIVU,1991-07-01,F,56.0,26
207,6763,publique,chemchem,nutr,FSDC,NORD-KIVU,1991-09-02,F,50.0,25
208,6932,publique,chemchem,sociale,FSDC,NORD-KIVU,1989-01-10,F,54.0,28
209,7128,publique,chemchem,coupe couture,FSEG,NORD-KIVU,1991-07-26,F,60.0,25
210,7380,publique,chemchem,coupe couture,FSDC,KINSHASA,1992-09-29,F,55.0,24
211,7487,publique,chemchem,coupe couture,FPSE,NORD-KIVU,1982-04-13,F,52.0,35
212,8390,publique,chemchem,coupe couture,FSDC,NORD-KIVU,1985-05-28,F,55.0,32
213,8789,publique,chemchem,pedagogie,FPSE,MANIEMA,1990-08-08,H,62.0,26
214,8973,publique,chemchem,coupe couture,FSEG,NORD-KIVU,1994-10-22,F,77.0,22
215,9615,publique,chemchem,pedagogie,FD,MANIEMA,1988-09-06,F,51.0,28
216,9747,publique,chemchem,latin philo,FSDC,MANIEMA,1991-01-27,H,52.0,26
217,10447,publique,chemchem,coupe couture,FSDC,NORD-KIVU,1995-07-15,F,64.0,21
218,10526,publique,chemchem,coupe couture,FSDC,NORD-KIVU,1995-10-15,F,62.0,21
219,10726,publique,chemchem,coupe couture,FSEG,NORD-KIVU,1995-06-25,F,60.0,22
220,10880,publique,chemchem,coupe couture,FD,NORD-KIVU,1995-12-16,F,58.0,21
221,12218,publique,chemchem,latin philo,FD,MANIEMA,1992-07-10,F,60.0,24
222,7202,publique,ndosho,commmerciale et adm,FSEG,NORD-KIVU,1991-11-11,F,57.0,25
223,7512,publique,ndosho,pedagogie,FT,NORD-KIVU,1988-12-29,H,52.0,28
224,8133,publique,ndosho,commmerciale et adm,FSEG,NORD-KIVU,1991-01-03,F,51.0,26
225,8187,publique,ndosho,commmerciale et adm,FSEG,NORD-KIVU,1993-05-10,H,52.0,24
226,8992,publique,ndosho,pedagogie,FD,SUD-KIVU,1992-05-15,F,61.0,25
227,9185,publique,ndosho,sociale,FD,NORD-KIVU,1992-01-07,H,58.0,25
228,9244,publique,ndosho,sociale,FSDC,NORD-KIVU,1993-07-14,H,57.0,23
229,9258,publique,ndosho,sociale,FSDC,NORD-KIVU,1994-07-27,F,58.0,22
230,9266,publique,ndosho,sociale,FSEG,NORD-KIVU,1992-10-20,H,65.0,24
231,9361,publique,ndosho,sociale,FSDC,NORD-KIVU,1993-06-25,F,52.0,24
232,9533,publique,ndosho,pedagogie,FSDC,NORD-KIVU,1993-09-15,F,64.0,23
233,9677,publique,ndosho,pedagogie,FD,NORD-KIVU,1992-04-29,H,51.0,25
234,10103,publique,ndosho,bio-chimie,FSEG,NORD-KIVU,1993-03-15,H,58.0,24
235,10221,publique,ndosho,bio-chimie,FSTA,NORD-KIVU,1995-12-27,H,65.0,21
236,10399,publique,ndosho,pedagogie,FPSE,NORD-KIVU,1989-07-04,F,55.0,28
237,10411,publique,ndosho,pedagogie,FM,NORD-KIVU,1993-06-14,H,57.0,24
238,10549,publique,ndosho,bio-chimie,FSTA,NORD-KIVU,1995-12-28,F,61.0,21
239,10686,publique,ndosho,pedagogie,FT,NORD-KIVU,1993-07-07,H,52.0,24
240,10723,publique,ndosho,sociale,FSEG,NORD-KIVU,1995-09-25,F,52.0,21
241,10788,publique,ndosho,pedagogie,FPSE,NORD-KIVU,1994-06-01,H,55.0,23
242,10887,publique,ndosho,pedagogie,FSDC,NORD-KIVU,1994-02-18,F,50.0,23
243,11310,publique,ndosho,pedagogie,FD,NORD-KIVU,1994-07-14,H,58.0,22
244,11778,privé,ndosho,sociale,FSTA,SUD-KIVU,1994-04-15,F,55.0,23
245,11969,privé,ndosho,sociale,FSTA,NORD-KIVU,1998-10-25,F,59.0,18
246,4653,protestant,matolu,sociale,FT,NORD-KIVU,1979-05-08,H,51.0,38
247,10907,protestant,matolu,pedagogie,FT,NORD-KIVU,1988-09-14,F,50.0,28
248,3660,protestant,himbi,latin philo,FD,NORD-KIVU,1990-01-02,F,52.0,27
249,3734,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1989-04-02,F,52.0,28
250,4038,protestant,himbi,latin philo,FD,NORD-KIVU,1988-11-17,H,66.0,28
251,4254,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1989-06-12,F,50.0,28
252,4416,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1991-01-11,F,64.0,26
253,4460,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1988-01-13,H,54.0,29
254,4698,protestant,himbi,pedagogie,FSDC,SUD-KIVU,1991-11-13,F,57.0,25
255,4956,protestant,himbi,latin philo,FD,NORD-KIVU,1988-11-03,H,52.0,28
256,5012,protestant,himbi,latin philo,FSDC,NORD-KIVU,1989-06-02,F,57.0,28
257,5100,protestant,himbi,pedagogie,FPSE,SUD-KIVU,1980-02-03,F,51.0,37
258,5656,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1992-04-15,F,69.0,25
259,5739,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1988-08-10,H,53.0,28
260,6358,protestant,himbi,latin philo,FD,NORD-KIVU,1990-06-08,H,54.0,27
261,6360,protestant,himbi,latin philo,FD,NORD-KIVU,1990-04-15,H,53.0,27
262,6414,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1994-01-04,F,61.0,23
263,6533,protestant,himbi,latin philo,FSEG,NORD-KIVU,1992-03-09,F,65.0,25
264,6614,protestant,himbi,latin philo,FSTA,NORD-KIVU,1990-05-30,H,65.0,27
265,6708,protestant,himbi,pedagogie,FPSE,NORD-KIVU,1990-07-03,F,55.0,27
266,6904,protestant,himbi,latin philo,FD,NORD-KIVU,1990-07-26,F,64.0,26
267,7085,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1991-06-28,H,58.0,26
268,7138,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1991-03-27,H,59.0,26
269,7144,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1993-08-04,H,56.0,23
270,7547,protestant,himbi,commmerciale et adm,FSTA,NORD-KIVU,1993-11-11,H,60.0,23
271,7780,protestant,himbi,latin philo,FD,NORD-KIVU,1992-07-06,F,58.0,25
272,7794,protestant,himbi,latin philo,FD,NORD-KIVU,1988-01-21,H,53.0,29
273,8232,protestant,himbi,pedagogie,FSDC,NORD-KIVU,1991-06-06,F,59.0,26
274,8266,protestant,himbi,latin philo,FPSE,NORD-KIVU,1994-01-15,F,54.0,23
275,8299,protestant,himbi,latin philo,FSDC,NORD-KIVU,1991-04-16,F,57.0,26
276,8565,protestant,himbi,latin philo,FD,NORD-KIVU,1991-02-07,H,55.0,26
277,8691,protestant,himbi,latin philo,FPSE,NORD-KIVU,1993-12-15,F,57.0,23
278,8755,protestant,himbi,latin philo,FSDC,NORD-KIVU,1992-10-28,F,60.0,24
279,8967,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1993-06-14,H,53.0,24
280,8995,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1994-07-30,F,54.0,22
281,9064,protestant,himbi,commmerciale et adm,FD,NORD-KIVU,1111-11-11,H,55.0,24
282,9077,protestant,himbi,pedagogie,FSDC,NORD-KIVU,1990-06-06,F,54.0,27
283,9087,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1996-01-19,F,55.0,21
284,9090,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1993-08-10,F,52.0,23
285,9127,protestant,himbi,commmerciale et adm,FSEG,NORD-KIVU,1996-01-03,F,57.0,21
286,9155,protestant,himbi,pedagogie,FSEG,NORD-KIVU,1991-08-22,F,65.0,25
287,9162,protestant,himbi,latin philo,FSTA,KASAI ORIENTAL,1995-01-08,H,66.0,22
288,9235,protestant,himbi,pedagogie,FSEG,NORD-KIVU,1993-03-17,F,60.0,24
