ID,DIPPERC,SCHOOL_RIGHT,OPTION_RIGHT,FAC,CGPA,DistinctionRatio,EchecRatio,Pass1stSessionRatio
9023,53.0,zanner,commerciale et administrative,FSEG,57.366666158,G,G,G
9057,50.0,zanner,latin philo,FSEG,49.5,G,A,G
9195,55.0,zanner,commerciale et administrative,FSEG,60.1666666667,G,G,C
9352,55.0,zanner,latin philo,FD,63.3333320617,G,G,A
9413,62.0,zanner,commerciale et administrative,FSEG,61.933333079,G,G,E
9542,53.0,zanner,commerciale et administrative,FSEG,58.1333325704,G,G,G
9544,52.0,zanner,commerciale et administrative,FSEG,49.0,G,A,G
9582,58.0,zanner,latin philo,FD,60.8666674296,G,G,E
9618,52.0,zanner,commerciale et administrative,FSEG,56.7333335877,G,G,E
9667,51.0,zanner,latin philo,FD,59.633333842,G,G,G
9833,50.0,zanner,commerciale et administrative,FSEG,53.75,G,G,G
9860,52.0,zanner,latin philo,FD,55.5,G,G,G
9861,51.0,zanner,commerciale et administrative,FSEG,57.5500011444,G,G,D
9864,51.0,zanner,commerciale et administrative,FSEG,49.5,G,A,G
9869,52.0,zanner,latin philo,FD,58.0,G,G,D
9872,61.0,zanner,commerciale et administrative,FSEG,65.4500007629,G,G,G
9994,53.0,zanner,latin philo,FD,62.5999984741,G,G,A
9997,53.0,zanner,latin philo,FSEG,48.75,G,A,G
10007,50.0,zanner,commerciale et administrative,FSEG,56.75,G,G,G
10032,51.0,zanner,latin philo,FD,64.3500003815,G,G,G
10058,56.0,zanner,commerciale et administrative,FSEG,56.25,G,G,G
10124,50.0,zanner,commerciale et administrative,FSTA,49.25,G,A,G
10157,52.0,zanner,commerciale et administrative,FSEG,59.8500003815,G,G,G
10237,59.0,zanner,latin philo,FSEG,56.2000007629,G,G,G
10303,51.0,zanner,latin philo,FD,57.9500007629,G,G,D
10384,59.0,zanner,latin philo,FM,59.1499996185,G,G,G
10459,52.0,zanner,commerciale et administrative,FSEG,51.75,G,D,G
10478,51.0,zanner,latin philo,FD,55.9500007629,G,G,G
10560,51.0,zanner,latin philo,FSTA,48.75,G,A,G
10583,51.0,zanner,latin philo,FD,58.3499984741,G,G,A
10604,58.0,zanner,latin philo,FD,62.1499996185,G,G,G
10712,51.0,zanner,commerciale et administrative,FD,56.5,G,G,G
10758,52.0,zanner,latin philo,FSEG,55.9500007629,G,G,G
10800,54.0,zanner,latin philo,FSEG,59.3999996185,G,G,G
10801,59.0,zanner,commerciale et administrative,FSEG,58.1000003815,G,G,G
11331,50.0,zanner,commerciale et administrative,FSEG,58.4000015259,G,G,G
11368,57.0,zanner,commerciale et administrative,FSEG,46.0999984741,G,A,G
11382,51.0,zanner,commerciale et administrative,FD,57.0,G,G,A
11434,59.0,zanner,latin philo,FSEG,56.7999992371,G,G,G
11522,56.0,zanner,commerciale et administrative,FD,59.0999984741,G,G,A
11556,52.0,zanner,commerciale et administrative,FSEG,55.0,G,G,G
11610,52.0,zanner,latin philo,FM,49.0,G,A,G
11697,52.0,zanner,commerciale et administrative,FSTA,45.0999984741,G,A,G
11711,58.0,zanner,latin philo,FD,60.7999992371,G,G,A
11712,54.0,zanner,latin philo,FSDC,60.0,G,G,A
11730,59.0,zanner,latin philo,FD,63.5,G,G,A
11986,61.0,zanner,latin philo,FD,62.0999984741,G,G,A
12019,60.0,zanner,latin philo,FSEG,61.0,G,G,G
3289,61.0,edap/isp bukavu,math-physique,FSTA,49.75,G,A,G
3691,59.0,edap/isp bukavu,commerciale et administrative,FSTA,64.3000011445,G,G,G
4617,61.0,edap/isp bukavu,bio-chimie,FSTA,75.0,A,G,D
6626,62.0,edap/isp bukavu,math-physique,FSTA,62.2666676839,G,G,G
7611,55.0,edap/isp bukavu,bio-chimie,FSTA,56.3333320618,G,E,C
8283,51.0,edap/isp bukavu,commerciale et administrative,FSEG,54.7666676839,G,G,G
9309,50.0,edap/isp bukavu,math-physique,FSTA,58.0999997457,G,G,E
9700,59.0,edap/isp bukavu,commerciale et administrative,FSEG,61.8999996185,G,G,G
9717,65.0,edap/isp bukavu,commerciale et administrative,FSEG,64.0,G,G,G
11525,60.0,edap/isp bukavu,math-physique,FSTA,54.2000007629,G,G,G
5918,52.0,mululusake,pedagogie,FD,64.4000015259,G,G,G
8692,52.0,mululusake,pedagogie,FT,59.933333079,G,G,G
11347,55.0,mululusake,pedagogie,FPSE,47.25,G,A,G
11662,73.0,mululusake,pedagogie,FSTA,68.5,G,G,A
11862,54.0,mululusake,sociale,FSDC,61.9000015259,G,G,G
2509,55.0,ibanda,commerciale et administrative,FSEG,61.5999984741,G,G,G
3440,50.0,ibanda,pedagogie,FSTA,49.0,G,A,G
3643,60.0,ibanda,pedagogie,FSTA,58.1666666667,G,G,G
3651,58.0,ibanda,commerciale et administrative,FT,63.4000015259,G,G,G
3833,52.0,ibanda,math-physique,FSEG,60.2000007629,G,G,G
4276,54.0,ibanda,commerciale et administrative,FSEG,58.4500007629,G,G,G
4277,51.0,ibanda,commerciale et administrative,FSEG,54.3999996185,G,D,G
5026,58.0,ibanda,commerciale et administrative,FSEG,54.1749992371,G,D,G
5683,68.0,ibanda,commerciale et administrative,FSEG,60.3999996185,G,G,G
6241,52.0,ibanda,commerciale et administrative,FSEG,52.5,G,A,G
6662,68.0,ibanda,math-physique,FSTA,60.3000005086,G,G,G
7003,50.0,ibanda,bio-chimie,FSDC,62.7000007629,G,G,G
7354,62.0,ibanda,commerciale et administrative,FSDC,49.25,G,A,G
7672,54.0,ibanda,bio-chimie,FSTA,53.6499996185,G,D,G
7685,60.0,ibanda,bio-chimie,FSTA,52.6666666667,G,C,G
7707,53.0,ibanda,bio-chimie,FSDC,60.7999992371,G,G,G
8326,59.0,ibanda,bio-chimie,FSTA,65.8333333333,E,G,E
8818,51.0,ibanda,commerciale et administrative,FSEG,49.4249992371,G,A,G
9292,68.0,ibanda,pedagogie,FD,47.75,G,A,G
9506,55.0,ibanda,math-physique,FSTA,48.6333325704,G,C,G
9716,60.0,ibanda,commerciale et administrative,FSEG,63.25,G,G,D
9829,52.0,ibanda,math-physique,FSTA,62.7000007629,G,G,A
10201,62.0,ibanda,math-physique,FSTA,57.3500003815,G,G,G
10355,58.0,ibanda,pedagogie,FSDC,49.75,G,A,G
10358,52.0,ibanda,math-physique,FSTA,57.3500003815,G,G,G
10484,50.0,ibanda,pedagogie,FSTA,68.4499969482,D,G,A
10702,65.0,ibanda,pedagogie,FD,49.5,G,A,G
10823,53.0,ibanda,pedagogie,FD,59.4499988556,G,G,G
10895,53.0,ibanda,pedagogie,FD,53.2000007629,G,D,D
11631,51.0,ibanda,bio-chimie,FSDC,48.25,G,A,G
11791,51.0,ibanda,bio-chimie,FSTA,47.5,G,A,G
11793,54.0,ibanda,pedagogie,FD,61.7000007629,G,G,A
12104,50.0,ibanda,commerciale et administrative,FSEG,48.9000015259,G,A,G
12225,61.0,ibanda,pedagogie,FD,50.0,G,A,G
4329,50.0,frere alimba,math-physique,FSEG,61.2999992371,G,G,G
6135,58.0,frere alimba,math-physique,FSEG,57.8500003815,G,G,G
12200,55.0,frere alimba,bio-chimie,FSDC,59.7000007629,G,G,G
4307,69.0,iti gombe,mecanique machines outils,FSTA,63.2999992371,G,G,G
9038,65.0,iti gombe,bio-chimie,FSEG,61.0333340963,G,G,G
9549,65.0,iti gombe,commerciale et administrative,FSEG,50.2749996185,G,A,G
9558,51.0,iti gombe,vétérinaire,FSDC,63.6666679382,G,G,G
10159,56.8765221107,iti gombe,vétérinaire,FM,58.0499992371,G,G,G
10582,60.0,iti gombe,electronique générale,FSTA,49.25,G,A,G
11371,56.0,iti gombe,mec gene,FSTA,55.7999992371,G,G,G
11378,52.0,iti gombe,electricite,FSTA,47.7999992371,G,A,G
11455,65.0,iti gombe,electricite,FSTA,60.9000015259,G,G,G
11636,52.0,iti gombe,mec gene,FSTA,60.2000007629,G,G,G
11648,68.0,iti gombe,electricite,FSTA,69.3000030518,G,G,A
11678,56.0,iti gombe,electricite,FSTA,59.7000007629,G,G,G
11679,60.0,iti gombe,mec gene,FSTA,60.0999984741,G,G,G
7026,60.0,butembo,pedagogie,FPSE,53.3250007629,G,D,G
7718,63.0,butembo,latin philo,FD,62.2000007629,G,G,G
8432,56.0,butembo,pedagogie,FD,60.2249994278,G,G,D
8487,57.0,butembo,pedagogie,FPSE,59.6000003815,G,G,F
9004,58.0,butembo,sociale,FD,47.0,G,A,G
9126,58.0,butembo,sociale,FSTA,47.0,G,A,G
9275,51.0,butembo,sociale,FSDC,54.0,G,A,G
9604,57.0,butembo,commerciale et administrative,FD,67.0666656494,G,G,A
9729,54.0,butembo,commerciale et administrative,FSEG,63.9000015259,G,G,D
10271,50.0,butembo,pedagogie,FSDC,58.3999996185,G,G,G
10434,59.0,butembo,pedagogie,FPSE,59.7000007629,G,G,A
10867,58.0,butembo,electricite,FSTA,57.5,G,G,G
10892,52.0,butembo,math-physique,FSDC,61.9500007629,G,G,D
10931,53.0,butembo,commerciale et administrative,FSDC,59.8999996185,G,G,G
11450,61.0,butembo,commerciale et administrative,FSEG,56.5,G,G,G
11558,65.0,butembo,math-physique,FSTA,61.5,G,G,A
11618,63.0,butembo,latin philo,FD,59.2000007629,G,G,G
11729,60.0,butembo,sociale,FT,64.4000015259,G,G,G
11859,57.0,butembo,pedagogie,FSEG,57.5999984741,G,G,G
12111,62.0,butembo,construction,FSTA,47.0,G,A,G
12166,51.0,butembo,pedagogie,FSDC,57.7999992371,G,G,G
12167,60.0,butembo,construction,FSTA,47.75,G,A,G
12186,67.0,butembo,agrecole,FSTA,54.5,G,G,G
12239,55.0,butembo,commerciale et administrative,FSEG,55.4000015259,G,G,G
4216,62.0,masisi,commerciale et administrative,FSEG,62.7999992371,G,G,A
4873,55.0,masisi,pedagogie,FSDC,64.3500003815,G,G,D
11624,52.0,masisi,sociale,FSTA,47.5,G,A,G
11676,52.0,masisi,commerciale et administrative,FSEG,60.5999984741,G,G,A
11776,51.0,masisi,latin philo,FM,47.75,G,A,G
2277,62.0,chemchem,sociale,FSDC,49.25,G,A,G
3779,54.0,chemchem,commerciale et administrative,FD,61.0999984741,G,G,A
3817,57.0,chemchem,sociale,FSEG,57.9000015259,G,G,A
3963,57.0,chemchem,inconnu,FSDC,63.0,G,G,G
4411,56.0,chemchem,nutr,FSEG,62.5999984741,G,G,G
4457,71.0,chemchem,sociale,FSEG,65.6000022889,G,G,A
4458,58.0,chemchem,sociale,FSEG,64.1999969482,G,G,A
4483,58.0,chemchem,nutr,FSDC,52.9750003815,G,D,G
4603,55.0,chemchem,nutr,FSDC,48.25,G,A,G
4727,62.0,chemchem,nutr,FSDC,63.7000007629,G,G,A
4759,61.0,chemchem,diet,FSDC,61.7999992371,G,G,G
4763,59.0,chemchem,nutr,FSDC,63.2000007629,G,G,A
4765,57.0,chemchem,nutr,FD,47.5,G,A,G
4771,57.0,chemchem,nutr,FSDC,53.1499996185,G,D,D
4780,59.0,chemchem,diet,FSDC,58.7999992371,G,A,G
4790,54.0,chemchem,sociale,FSDC,47.25,G,A,G
4883,52.0,chemchem,coupe couture,FD,60.7000007629,G,G,D
4902,60.0,chemchem,sociale,FSEG,59.5,G,G,G
5163,56.0,chemchem,nutr,FSDC,60.4000015259,G,G,G
5651,52.0,chemchem,nutr,FSDC,53.7000007629,G,D,G
5667,54.0,chemchem,sociale,FSDC,62.6000003815,G,G,G
5748,50.0,chemchem,nutr,FSEG,49.75,G,A,G
5749,56.0,chemchem,sociale,FD,69.1666666667,E,G,A
6165,51.0,chemchem,sociale,FSEG,47.5,G,A,G
6209,51.0,chemchem,nutr,FSEG,61.7000007629,G,G,G
6377,73.0,chemchem,sociale,FSEG,64.200000763,G,G,C
6378,54.0,chemchem,sociale,FSEG,61.0,G,G,G
6483,59.0,chemchem,sociale,FSEG,58.1000003815,G,G,G
6534,56.0,chemchem,nutr,FSDC,61.7000007629,G,G,A
6536,56.0,chemchem,nutr,FSDC,65.6999969482,G,G,A
6635,57.0,chemchem,sociale,FSDC,67.2000007629,D,G,G
6642,56.0,chemchem,nutr,FSDC,59.4333343506,G,E,G
6669,58.0,chemchem,sociale,FSEG,58.6000003815,G,G,G
6761,50.0,chemchem,nutr,FSDC,61.75,G,G,G
6762,56.0,chemchem,nutr,FSDC,62.7333335877,G,G,E
6763,50.0,chemchem,nutr,FSDC,62.0500011445,G,G,G
6932,54.0,chemchem,sociale,FSDC,60.5,G,G,G
7128,60.0,chemchem,coupe couture,FSEG,59.3333333333,G,G,E
7380,55.0,chemchem,coupe couture,FSDC,59.9000015259,G,G,G
7487,52.0,chemchem,coupe couture,FPSE,56.0249996185,G,D,G
8390,55.0,chemchem,coupe couture,FSDC,47.75,G,A,G
8789,62.0,chemchem,pedagogie,FPSE,57.4500007629,G,D,G
8973,77.0,chemchem,coupe couture,FSEG,61.0,G,G,A
9615,51.0,chemchem,pedagogie,FD,59.1666653951,G,G,G
9747,52.0,chemchem,latin philo,FSDC,61.9333343506,G,G,G
10447,64.0,chemchem,coupe couture,FSDC,64.75,G,G,D
10526,62.0,chemchem,coupe couture,FSDC,62.3999996185,G,G,D
10726,60.0,chemchem,coupe couture,FSEG,57.1500015259,G,G,G
10880,58.0,chemchem,coupe couture,FD,58.1999988556,G,G,G
12218,60.0,chemchem,latin philo,FD,58.9000015259,G,G,G
7202,57.0,ndosho,commerciale et administrative,FSEG,52.8250007629,G,D,G
7512,52.0,ndosho,pedagogie,FT,66.875,F,G,B
8133,51.0,ndosho,commerciale et administrative,FSEG,47.0,G,A,G
8187,52.0,ndosho,commerciale et administrative,FSEG,48.5,G,A,G
8992,61.0,ndosho,pedagogie,FD,58.7333335876,G,G,C
9185,58.0,ndosho,sociale,FD,53.1499996185,G,D,G
9244,57.0,ndosho,sociale,FSDC,60.6666653951,G,G,G
9258,58.0,ndosho,sociale,FSDC,52.0,G,A,G
9266,65.0,ndosho,sociale,FSEG,50.8250007629,G,D,G
9361,52.0,ndosho,sociale,FSDC,49.75,G,A,G
9533,64.0,ndosho,pedagogie,FSDC,62.1999994914,G,G,E
9677,51.0,ndosho,pedagogie,FD,51.0999997457,G,C,E
10103,58.0,ndosho,bio-chimie,FSEG,60.1999988556,G,G,G
10221,65.0,ndosho,bio-chimie,FSTA,65.25,G,G,D
10399,55.0,ndosho,pedagogie,FPSE,59.0999984741,G,G,G
10411,57.0,ndosho,pedagogie,FM,48.75,G,A,G
10549,61.0,ndosho,bio-chimie,FSTA,60.9500007629,G,G,D
10686,52.0,ndosho,pedagogie,FT,57.1000003815,G,G,G
10723,52.0,ndosho,sociale,FSEG,47.0,G,A,G
10788,55.0,ndosho,pedagogie,FPSE,49.75,G,A,G
10887,50.0,ndosho,pedagogie,FSDC,54.5,G,A,G
11310,58.0,ndosho,pedagogie,FD,55.7000007629,G,G,G
11778,55.0,ndosho,sociale,FSTA,47.0,G,A,G
11969,59.0,ndosho,sociale,FSTA,47.25,G,A,G
4653,51.0,matolu,sociale,FT,64.6000003815,G,G,G
10907,50.0,matolu,pedagogie,FT,59.4499988556,G,G,G
3660,52.0,himbi,latin philo,FD,60.2000007629,G,G,G
3734,52.0,himbi,commerciale et administrative,FSEG,61.7999992371,G,G,G
4038,66.0,himbi,latin philo,FD,78.0999984741,A,G,A
4254,50.0,himbi,commerciale et administrative,FSEG,54.3999996185,G,D,G
4416,64.0,himbi,commerciale et administrative,FSEG,64.3000030518,G,G,G
4460,54.0,himbi,commerciale et administrative,FSEG,62.5,G,G,G
4698,57.0,himbi,pedagogie,FSDC,60.2000007629,G,G,G
4956,52.0,himbi,latin philo,FD,68.5,G,G,G
5012,57.0,himbi,latin philo,FSDC,60.7999992371,G,G,G
5100,51.0,himbi,pedagogie,FPSE,59.0,G,G,G
5656,69.0,himbi,commerciale et administrative,FSEG,65.4000015259,G,G,D
5739,53.0,himbi,commerciale et administrative,FSEG,56.5,G,G,G
6358,54.0,himbi,latin philo,FD,58.9666671753,G,G,C
6360,53.0,himbi,latin philo,FD,61.433333079,G,G,A
6414,61.0,himbi,commerciale et administrative,FSEG,63.5999984741,G,G,C
6533,65.0,himbi,latin philo,FSEG,59.1500015259,G,G,G
6614,65.0,himbi,latin philo,FSTA,58.5333328247,G,E,G
6708,55.0,himbi,pedagogie,FPSE,63.3666648865,G,G,A
6904,64.0,himbi,latin philo,FD,69.5333328247,C,G,A
7085,58.0,himbi,commerciale et administrative,FSEG,56.8666661581,G,G,G
7138,59.0,himbi,commerciale et administrative,FSEG,58.7666664124,G,E,G
7144,56.0,himbi,commerciale et administrative,FSEG,61.3000005086,G,G,E
7547,60.0,himbi,commerciale et administrative,FSTA,39.5,G,A,G
7780,58.0,himbi,latin philo,FD,62.5666656494,G,G,E
7794,53.0,himbi,latin philo,FD,55.4499994914,G,E,G
8232,59.0,himbi,pedagogie,FSDC,58.5499992371,G,G,A
8266,54.0,himbi,latin philo,FPSE,61.25,G,G,D
8299,57.0,himbi,latin philo,FSDC,60.7333335876,G,G,G
8565,55.0,himbi,latin philo,FD,46.3999996185,G,A,G
8691,57.0,himbi,latin philo,FPSE,68.366666158,E,G,A
8755,60.0,himbi,latin philo,FSDC,62.1666679383,G,G,G
8967,53.0,himbi,commerciale et administrative,FSEG,48.25,G,A,G
8995,54.0,himbi,commerciale et administrative,FSEG,58.0999997457,G,G,G
9064,55.0,himbi,commerciale et administrative,FD,49.25,G,A,G
9077,54.0,himbi,pedagogie,FSDC,61.8499984741,G,G,G
9087,55.0,himbi,commerciale et administrative,FSEG,58.7666676839,G,G,C
9090,52.0,himbi,commerciale et administrative,FSEG,55.9666659037,G,G,G
9127,57.0,himbi,commerciale et administrative,FSEG,60.3333333333,G,G,G
9155,65.0,himbi,pedagogie,FSEG,58.8000005086,G,G,C
9162,66.0,himbi,latin philo,FSTA,61.5999984741,G,G,G
9235,60.0,himbi,pedagogie,FSEG,47.75,G,A,G
9242,54.0,himbi,pedagogie,FSDC,66.6000010173,G,G,C
9246,56.0,himbi,pedagogie,FPSE,62.3000005086,G,G,C
9287,52.0,himbi,commerciale et administrative,FSEG,58.3333333333,G,G,G
9332,62.0,himbi,pedagogie,FD,60.3333333333,G,G,G
9385,68.0,himbi,latin philo,FD,73.0999984741,C,G,A
9477,62.0,himbi,latin philo,FSEG,60.8000005086,G,G,C
9554,54.0,himbi,commerciale et administrative,FSEG,63.4333318074,G,G,C
9599,59.0,himbi,latin philo,FT,60.0333340963,G,G,G
9628,50.0,himbi,commerciale et administrative,FSEG,58.1333325704,G,G,G
9648,64.0,himbi,commerciale et administrative,FSEG,47.5,G,A,G
9684,60.0,himbi,pedagogie,FSTA,54.1000003815,G,D,G
9921,58.0,himbi,commerciale et administrative,FSTA,47.25,G,A,G
9930,71.0,himbi,pedagogie,FSTA,66.7000007629,G,G,A
10093,53.0,himbi,latin philo,FM,58.7999992371,G,G,D
10148,58.0,himbi,pedagogie,FSEG,49.25,G,A,G
10239,52.0,himbi,commerciale et administrative,FM,53.3999996185,G,D,G
10269,55.0,himbi,commerciale et administrative,FSEG,62.0999984741,G,G,G
10319,57.0,himbi,latin philo,FM,55.0,G,G,G
10344,51.0,himbi,commerciale et administrative,FSEG,53.25,G,D,G
10531,61.0,himbi,commerciale et administrative,FSEG,59.0499992371,G,G,G
10580,53.0,himbi,latin philo,FPSE,57.7000007629,G,G,G
10624,56.0,himbi,commerciale et administrative,FSTA,58.5,G,G,G
10680,58.0,himbi,pedagogie,FPSE,59.3000011444,G,G,D
10831,53.0,himbi,pedagogie,FSEG,47.25,G,A,G
10858,52.0,himbi,latin philo,FD,56.6000003815,G,G,G
11134,61.0,himbi,commerciale et administrative,FSEG,49.75,G,A,G
11392,51.0,himbi,commerciale et administrative,FSEG,55.9000015259,G,G,G
11512,56.0,himbi,commerciale et administrative,FSEG,45.5999984741,G,A,G
11517,57.0,himbi,commerciale et administrative,FSEG,60.0,G,G,G
11542,65.0,himbi,latin philo,FSTA,55.7999992371,G,G,A
11632,65.0,himbi,latin philo,FT,67.0,G,G,A
11638,57.0,himbi,commerciale et administrative,FSEG,59.2999992371,G,G,A
11659,52.0,himbi,commerciale et administrative,FT,67.9000015259,G,G,A
11674,57.0,himbi,commerciale et administrative,FSEG,58.5,G,G,G
11751,57.0,himbi,latin philo,FD,57.0,G,G,G
11779,56.0,himbi,latin philo,FD,62.2000007629,G,G,G
11889,54.0,himbi,pedagogie,FT,61.9000015259,G,G,G
12048,56.0,himbi,pedagogie,FD,54.9000015259,G,G,G
12069,60.0,himbi,latin philo,FM,58.5999984741,G,G,G
12083,57.0,himbi,pedagogie,FSDC,62.0999984741,G,G,G
12091,54.0,himbi,latin philo,FD,66.0999984741,G,G,G
12128,60.0,himbi,pedagogie,FSEG,54.5999984741,G,G,G
12130,51.0,himbi,commerciale et administrative,FD,57.4000015259,G,G,A
12139,55.0,himbi,commerciale et administrative,FSDC,64.6999969482,G,G,A
12210,55.0,himbi,commerciale et administrative,FSEG,56.7999992371,G,G,G
4181,60.0,kambali,latin philo,FD,66.2999992371,D,G,D
4905,53.0,kambali,latin philo,FSEG,59.6000003815,G,G,G
6243,55.0,kambali,latin philo,FD,61.0499992371,G,G,D
7915,66.0,kambali,latin philo,FD,74.4499969482,A,G,A
8682,61.0,kambali,math-physique,FSTA,71.6999969482,A,G,G
9109,64.0,kambali,latin philo,FPSE,67.633333842,C,G,C
9337,60.0,kambali,latin philo,FSTA,55.6666666667,G,E,E
10048,60.0,kambali,bio-chimie,FM,60.5499992371,G,G,G
10170,76.0,kambali,latin philo,FSTA,65.3999996185,G,G,D
10371,62.0,kambali,bio-chimie,FM,65.9000015259,G,G,D
10901,57.0,kambali,math-physique,FSTA,57.3500003815,G,G,G
12121,61.0,kambali,latin philo,FD,59.5999984741,G,G,G
8800,58.0,mugunga,pedagogie,FD,47.0,G,A,G
8893,67.0,mugunga,sociale,FD,62.1999982198,G,G,E
9196,58.0,mugunga,sociale,FSDC,61.5999984741,G,G,G
9308,55.0,mugunga,commerciale et administrative,FSEG,49.75,G,A,G
9311,52.0,mugunga,sociale,FSEG,48.25,G,A,G
9671,50.0,mugunga,pedagogie,FD,57.5333328247,G,G,G
10466,57.0,mugunga,sociale,FPSE,55.9500007629,G,G,G
10519,59.0,mugunga,pedagogie,FM,59.8000011444,G,G,D
10602,55.0,mugunga,sociale,FM,56.4000015259,G,G,G
4472,57.0,mwanga/ uvira,commerciale et administrative,FSEG,62.5999984741,G,G,A
4879,51.0,mwanga/ uvira,latin philo,FD,64.6500015259,G,G,A
7597,59.0,mwanga/ uvira,math-physique,FSTA,60.0874996185,G,G,F
8128,53.0,mwanga/ uvira,commerciale et administrative,FSEG,58.2999992371,G,G,G
8496,52.0,mwanga/ uvira,commerciale et administrative,FSEG,54.9333343506,G,E,G
9530,50.0,mwanga/ uvira,commerciale et administrative,FSEG,47.75,G,A,G
10656,55.0,mwanga/ uvira,math-physique,FM,61.7000007629,G,G,G
10704,51.0,mwanga/ uvira,latin philo,FT,60.6000003815,G,G,G
11351,59.0,mwanga/ uvira,commerciale et administrative,FSEG,53.2000007629,G,G,G
11506,59.0,mwanga/ uvira,bio-chimie,FSTA,49.0,G,A,G
11520,53.0,mwanga/ uvira,commerciale et administrative,FSEG,52.0,G,G,G
11602,51.0,mwanga/ uvira,latin philo,FD,58.5,G,G,G
11901,67.0,mwanga/ uvira,math-physique,FSTA,66.8000030518,G,G,A
12155,50.0,mwanga/ uvira,bio-chimie,FD,59.4000015259,G,G,G
12215,52.0,mwanga/ uvira,latin philo,FD,56.0,G,G,G
8189,54.0,kimua,pedagogie,FSDC,48.5,G,A,G
9073,56.0,kimua,pedagogie,FSDC,60.066666921,G,G,G
9893,57.0,kimua,pedagogie,FSTA,49.25,G,A,G
11640,58.0,kimua,pedagogie,FSDC,50.7999992371,G,A,G
4933,50.0,it kasabinyole,pedagogie,FSDC,54.4500007629,G,D,G
6242,56.0,it kasabinyole,pedagogie,FD,64.3999996185,G,G,D
6948,50.0,it kasabinyole,electricite,FSEG,65.3000030518,G,G,A
12099,60.0,it kasabinyole,mec gene,FSTA,46.7000007629,G,A,G
6593,60.0,kisolokele,sociale,FD,59.7999992371,G,G,A
8968,50.0,kisolokele,commerciale et administrative,FSEG,58.2666664123,G,G,G
11875,58.0,kisolokele,sociale,FSEG,52.0,G,A,G
10193,59.0,mgr henri pierrard,latin philo,FSEG,60.7000007629,G,G,A
11673,51.0,mgr henri pierrard,bio-chimie,FSTA,46.7999992371,G,A,G
6138,52.0,uzima,sociale,FSEG,56.0499992371,G,G,G
6740,60.0,uzima,sociale,FSDC,65.5999984741,G,G,A
7106,62.0,uzima,sociale,FSEG,58.5,G,G,G
7154,73.0,uzima,sociale,FSEG,61.0333328247,G,G,G
7161,65.0,uzima,commerciale et administrative,FSEG,59.0999997457,G,G,G
7226,68.0,uzima,sociale,FSEG,60.75,G,G,D
7333,69.0,uzima,sociale,FSDC,58.950000763,G,E,E
7342,54.0,uzima,sociale,FSDC,59.9666671753,G,G,G
7350,60.0,uzima,sociale,FSDC,64.6500015259,G,G,D
7362,63.0,uzima,sociale,FSDC,62.2000007629,G,G,F
7450,59.0,uzima,sociale,FSDC,63.5666681926,G,G,G
7748,66.0,uzima,sociale,FD,64.0333328247,G,G,E
8150,60.0,uzima,commerciale informatique,FSEG,62.5499992371,G,G,A
8151,67.0,uzima,commerciale informatique,FSTA,67.2749996185,D,G,B
8159,63.0,uzima,commerciale informatique,FSEG,60.375,D,D,D
8177,60.0,uzima,sociale,FSDC,62.9749984741,G,G,D
